"hhid","PID","s8q02","s8q03","s8q04","s8q06","s8q08","s8q10","s8q12","s8q14","s8q15","s8q16","s8q17","s8q17ab","s8q18","s8q19a","h8q19b_oneDigit","h8q19b_twoDigit","h8q19b_threeDigit","h8q19b_fourDigit","h8q19b_superConfirm","s8q20a","h8q20b_oneDigit","h8q20b_twoDigit","h8q20b_threeDigit","h8q20b_fourDigit","h8q20b_superConfirm","s8q22","s8q22_1","s8q23","s8q24","s8q68","s8q26","s8q27","s8q69","s8q29","s8q30","s8q30b","s8q32","s8q33","s8q70","s8q71","s8q35","s8q72","s8q37","s8q38a","h8q38b_oneDigit","h8q38b_twoDigit","h8q38b_threeDigit","h8q38b_fourDigit","s8q39a","h8q39b_oneDigit","h8q39b_twoDigit","h8q39b_threeDigit","h8q39b_fourDigit","s8q41","s8q42","s8q73","s8q36a","s8q36b","s8q36c","s8q36d","s8q36e","s8q36f","s8q36g","s8q43a","s8q43b","s8q43c","s8q43d","s8q43e","s8q43f","s8q43g","s8q46","s8q77","s8q31a","s8q31c","s8q78","s8q31d1","s8q31d2","s8q79","s8q45b","s8q45c","s8q80","s8q45d1","s8q45d2","s8q100a","s8q100b","s8q100c","s8q100coth","h8q101b_oneDigit","h8q101b_twoDigit","h8q101b_threeDigit","h8q101b_fourDigit","s8q101a","s8q101d","s8q100doth"
"0130f7b8553e41139cc871d924491db2",1,1,,2,2,2,2,1,1,,,,,,"SUBSISTANCE FARMER",6,63,631,6310,1,"BEANS ,CASSAVA, MAIZE, SIMSIM AND SOYA BEANS",11111,1,11222,111,1,6,2,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,3,3,4,3,4,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
"0130f7b8553e41139cc871d924491db2",2,2,1,2,2,2,2,1,1,,,,,,"SUBSISTANCE FARMER",6,63,631,6310,1,"BEANS, MAIZE, CASSAVA, SIMSIM AND SOYA BEANS",11111,1,11222,111,1,6,2,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,3,4,3,4,3,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
"0130f7b8553e41139cc871d924491db2",3,2,1,2,2,2,2,1,1,,,,,,"SUBSISTANCE FARMER",6,63,631,6310,1,"BEANS, MAIZE, CASSAVA, SIMSIM AND SOYA BEANS",11111,1,11222,111,1,6,2,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,3,4,3,4,3,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
"0130f7b8553e41139cc871d924491db2",4,2,1,2,2,2,2,1,1,,,,,,"SUBSISTANCE FARMER",6,63,631,6310,1,"BEANS, MAIZE, CASSAVA, SIMSIM AND SOYA BEANS",11111,1,11222,111,1,6,2,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,3,4,3,4,3,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
"01474a4d9efd4b8190c37f5fba89a005",1,2,2,2,1,2,2,2,1,,,,,,"making bricks",9,93,932,9329,1,"home",31111,32,329,3290,1,3,,,,,,,,,,,2,2,1,1,7,1,2,,,,,,,,,,,,,,0,2,0,0,0,0,0,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
"01474a4d9efd4b8190c37f5fba89a005",2,1,,2,1,2,2,2,1,,,,,,"making craft shoes",7,73,731,7318,1,"home",31111,15,152,1520,1,3,,,,,,,,,,,2,2,1,1,5,1,2,,,,,,,,,,,,,,0,4,0,4,4,4,4,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
"01474a4d9efd4b8190c37f5fba89a005",4,2,2,2,2,2,2,2,0,2,2,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,12,
"01474a4d9efd4b8190c37f5fba89a005",5,2,2,2,2,2,2,2,0,2,2,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,12,
"01474a4d9efd4b8190c37f5fba89a005",6,2,2,2,2,2,2,2,0,2,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,15,
"01474a4d9efd4b8190c37f5fba89a005",11,2,2,2,1,2,2,2,1,,,,,,"vending second hand clothes",9,95,952,9520,1,"mobile vnding",71111,47,479,4799,1,3,,,,,,,,,,,2,2,1,2,5,8,2,,,,,,,,,,,,,,0,0,5,4,5,4,0,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,
"01474a4d9efd4b8190c37f5fba89a005",13,2,2,2,2,2,2,2,0,2,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,15,
"01474a4d9efd4b8190c37f5fba89a005",16,2,2,2,2,2,2,2,0,2,2,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,12,
"01474a4d9efd4b8190c37f5fba89a005",20,2,2,2,2,2,2,2,0,2,2,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,12,
