"hhidold","PID","t2a_ta","t2a_tb","t2a_tc","t2a_td","t2a_te","t2a_tf","t2a_tg","t2a_th","t2a_ti","t2a_tj","t2a_tk","t2a_tl","t2a_tm","t2a_tm1","t2a_tn","t2a_to","t2a_tp","t2a_tq","t2a_tr","t2a_ts","t2a_tt","t3","hhid"
"H1430801","12",2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,"7d865b4503fb4df2b9b506ad6574db8f"
"H3740801","6",1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,"82ef167080604670bd33e58801e83f90"
"H1630203","5",1,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,4,"96b5e72b181245258379a42eae31581b"
"H3391001","5",1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,1,2,1,3,"97aa986363af4011b2a4e1af3bb6cb52"
"H2790802","7",1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,5,"a089138af4be4328afc442187d72ac8f"
"H2360705","4",1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,1,2,2,4,"a0c2560f857044ae8a6f7aee6f0f474b"
"H1550201","7",1,,,,,2,,,,,,1,,,,,,,,,,5,"a18f0339114f4fb689365b3a934b39e9"
"H0601002","3",1,2,2,2,2,2,2,2,1,2,1,1,1,2,1,2,2,2,2,2,2,3,"a1eb4a42ea2a466a9c8e07faa13b28c3"
"H3070801","11",2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,3,"a31f26b79d7942b4bd1c4ce6641e5448"
"H2810902","4",1,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,4,"a54b31b8ed364590aabe3c25b78e0ab2"
"H1480901","6",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,2,"a6b421e1308843d48839dc7ec38d3963"
"H3790601","7",1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,"a7fc8d3a34394bf0a9670102b2fee1c7"
"H3791001","3",1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"ac0514a317ba4cb7b450f1655bd5885d"
"H1650503","4",1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,"ac2b1c5c0eee496a827a1483df3f43b2"
"H4100801","14",1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,"ad89377d37484fed9c5117f2c43110e7"
"H2810901","10",2,2,1,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,1,2,2,3,"bf72d805ee634aa8a01a05c0a90e78ac"
"H4190702","5",,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,"c2180d8d40ab46759252515c840f3eb5"
"H4040801","4",2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,"d0e95742e6ca42d4b43849dab9e405c0"
"H3741001","11",1,2,1,1,2,2,2,2,2,1,1,2,1,2,1,2,2,2,2,2,2,2,"d1e668e0df9a4574a01ee0c3c525bf97"
"H3340801","7",1,2,1,1,2,1,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,4,"d305621f790241909c4efca8e4f3f3cc"
"H1650901","15",2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,"d4df290dccd04044933e95cba38d7d2d"
"H0951301","8",1,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,3,"db1aebf959a749d5807563e0f5b4f2e9"
"H4190701","4",2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,"dc90accc69c04f2a9b84c995a01c1592"
"H3710201","15",1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,"e4acad942df64493a48dbaa4e7d42975"
"H1810201","6",,,1,,,,,,,,1,,1,,,,,,,,,2,"e8e78013770e4919ac20cbf84d2f064c"
"H1830104","8",1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,"f5115db079e542e88d73985eb5d2d025"
