"t0_hhid","interview__key","hhid","t0_bizroster__id","s12q03a","entID_unps","t0_entDesc","t0_entLoc","t0_entStartMon","t0_entStartYear","t0_operateEnt","t0_whyNotOperate","h12q01","h12q01_1","h12q02_oneDigit","h12q02_twoDigit","h12q02_threeDigit","h12q02_fourDigit","h12q02_superConfirm","h12q03","h12q04","h12q15","h12q16","h12q16b","h12q05","h12q05b","h12q06_1","h12q07_1","h12q07_1other","h12q08a","h12q08b","h12q08c","h12q08d","h12q08e","h12q19a","h12q19b","h12q09","h12q20","h12q10","h12q11A","h12q11B","h12q12","h12q13","h12q14","h12q17","h12q18A","h12q18B","h12q18C","h12q18D","h12q18E","h12q18F","h12q18G","h12q18H","h12q18I","h12q18J","h12q18K","h12q18L","h12q18M","h12q18N","h12q18O","h12q18P","h12q18X","h12q18Q","h12q18_other","h12q21","h12q22"
"H1810302","28-65-64-98","17e791ea78294f2ea71a7cfd0eaf25e1",1,"SELLING FISH IN MARKETS","3","SELLING FISH IN MARKETS",8,98,2016,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H1820203","33-75-26-91","18024d9ef636472298f3cf2ef37a7f74",1,"BODABODA RIDER","1","BODABODA RIDER",6,98,2016,1,,"bodaboda rider",2,81111,49,492,4921,1,2,2015,7,1,,2,,2,,,1,2,,,,1,2,12,,4,0,0,,0,0,2,1,,,,,,,,,,,,,,,,,,,2,2
"H3500901","67-99-29-51","1822e5b54b08413d8730290994784e8b",1,"MAKING AND SELLING PANCAKES","1","MAKING AND SELLING PANCAKES",4,98,2008,1,,"MAKEING AND SELLING PANCAKES",2,71111,47,479,4799,1,2,2008,2,1,,2,,2,,,2,,,,,2,,12,,150000,0,0,,60000,0,1,,,,,,,,,,,,,,,,,,,,2,2
"H3080602","02-98-59-14","18419b46a04f4771a998a61279eb3ae1",1,"CARPENTRY","1","CARPENTRY",1,98,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H1000901","95-63-12-88","1870fa2f0f224496a94898fe205ab40d",1,"RUNNING A RETAIL SHOP","1","RUNNING A RETAIL SHOP",5,98,1990,1,,"Retail sale of general merchandise",2,71111,47,477,4773,1,3,2003,7,1,,2,,2,,,3,,,,,3,,12,,7000000,0,0,,5000000,690000,1,,,,,,,,,,,,,,,,,,,,2,2
"H3420101","97-30-61-68","194a945af9444a8bb7ce17dd53a03244",1,"CARPENTARY WORKSHOP","1","CARPENTARY WORKSHOP",2,1,1995,1,,"CARPENTRY WORKSHOP",1,31111,31,310,3100,1,1,1995,2,1,,2,,2,,,1,8,,,,1,,10,1,200000,0,1,0,100000,20000,1,,,,,,,,,,,,,,,,,,,,2,2
"H1730802","90-92-00-16","196ac6fad9e746d6ab549d5e72e070ed",2,"TRANSPORTING PASSENGERS USING A MOTORCYCLE","2","TRANSPORTING PASSENGERS USING A MOTORCYCLE",8,4,2002,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H1730802","90-92-00-16","196ac6fad9e746d6ab549d5e72e070ed",1,"WHOLESALE OF AGRICULTURAL PRODUCE","1","WHOLESALE OF AGRICULTURAL PRODUCE",8,9,2007,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H0140101","87-42-58-43","19cb4feac4dd4b60b8c0dc56633c3607",1,"CROSS BOARDER TRADE IN HOUSEHOLD GOODS","1","CROSS BOARDER TRADE IN HOUSEHOLD GOODS",4,11,2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"H2950201","51-15-55-47","1af73001aa914b64b6d10f3f6157e081",1,"SELLING COW SKINS","1","SELLING COW SKINS",4,98,1999,1,,"Trading in animal hides",2,71111,46,462,4620,1,1,2000,1,1,,2,,1,1,,1,,,,,1,,12,,6000000,2,2,300000,3700000,500000,1,,,,,,,,,,,,,,,,,,,,2,2
