"hhid","h9q01","h9q02","h9q24a","h9q24b","h9q26","h9q25","h9q27","h9q28","h9q29","h9q30_1","h9q30a","h9q30b","h9q30c","h9q31","h9q32a","h9q32b","h9q32c","h9q33","h9q34","h9q35","h9q36","h9q37","h9q38","h9q03","h9q04","h9q05","h9q06","h9q07","h9q08","h9q09a","h9q09b","h9q10","h9q11","h9q12","h9q13","h9q14","h9q15","h9q15_1","h9q15_2","h9q15_3","s915_4","h9q15_5","h9q16","h9q17","h9q22","h9q22a","h9q22b","h9q23","h9_respondent","h9q30d"
"893d52e674dd49bd8d5124981cca722c",13,16,,,,,,,,,".",".",".",,,,,,,,,,,1,10,12,10,16,1,30,2,0.4,1.5,2,,,10,"1",,,1,30,1,2,23,1,3,1,"1",
"8952c72850ac4c84a3086bbc723427b4",10,10,4,5000,2,1990,2,3,,,".",".",".",2,,,,1,2,,1,,500000,2,10,12,13,16,96,10,2,0.1,1,2,,,10,"1","2","3",1,40,1,4,23,2,,1,"1",
"8967e39ffffe47249e7a7b83ea45068a",10,10,3,4500,1,2014,2,3,,,".",".",".",1,96,,,1,2,,1,,150000000,3,10,12,13,10,,,,,3,1,1,"30000",,".",".",".",,65,8,2,12,2,,3,"1",
"89695f146bd74d64869b709a290d7c03",,,,,,,,,,,".",".",".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"896dd5a665a048e7ba281bf572724e8e",16,10,4,10500,2,2009,1,3,,,".",".",".",1,3,,,1,2,,1,,50000000,2,15,14,13,11,,,,,3,1,1,"20000",,".",".",".",,60,2,4,22,2,,1,"2",
"89790b7eab0d469eac79b5075dd10f1c",10,10,,,,,,,,,".",".",".",,,,,,,,,,,1,10,16,14,16,6,30,1,0.5,5,2,,,10,"2","3","4",2,60,1,2,22,2,,3,"1",
"898a20f42ee8488cb0d8563ef21d1db1",16,10,4,4,1,2013,1,3,,,".",".",".",2,,,,2,2,,1,,200000,5,15,16,14,14,6,25,12,0.25,7,2,,,10,"2",,,1,40,1,4,95,,,,"2",
"89a7cc1fcd2a4017b6b059abbdd0fbc0",10,10,4,8000,3,1995,1,3,,,".",".",".",2,,,,1,2,,1,,5000000,3,10,12,10,14,6,5,2,0.2,8,1,2,"2000",10,"4","5","6",1,80,1,4,23,2,,1,"1",
"89c852aab9a34a6ca26f86fac5ffb794",16,10,3,0.75,2,2010,1,3,,,".",".",".",2,,,,2,2,,1,,3500000,2,15,14,14,15,,200,5,5,10,2,,,10,"2","7",,1,80,2,4,95,,,,"2",
"89ca07d984a94f51be243976b0e0a3b9",10,10,,,,,,,,,".",".",".",,,,,,,,,,,2,15,14,14,12,1,0.5,35,10,10,2,,,10,"3",,,1,100,1,4,23,2,,1,"1",
"89e94a22f703436a8049b1dc8872d4dd",15,16,,,,,,,,,".",".",".",,,,,,,,,,,1,10,12,13,15,,10,4,0.025,2.5,2,,,10,"1","2",,1,60,1,2,22,1,3,1,"1",
"89ea415fa58b4cc28f1e97993b4a10f2",10,10,4,3500,2,1963,1,3,,,".",".",".",2,,,,2,2,,1,,20000000,2,10,12,13,11,,,,,7,2,,,,".",".",".",,100,2,2,22,2,,1,"2",
"89ecbeeefef841819fee94efd6d0c753",15,16,,,,,,,,,".",".",".",,,,,,,,,,,1,10,12,13,11,,,,,4,1,1,"7000",,".",".",".",,40,2,2,22,1,4,1,"1",
"8a20bc31d0ad47eba0bdf9f16a613fa1",16,10,3,0.5,2,2012,1,3,,,".",".",".",2,,,,6,2,,1,,1000000,1,15,16,14,14,6,15,10,0.2,10,2,,,10,"2","4",,1,101,1,4,95,,,,"2",
