"s12q02","NA1a","NA1b","NA1c","NA1d","NA1e","NA1f","NA1g","NA1h","hhid"
"2",2,2,2,2,2,2,2,2,"2a7187b42b264744b3a9d30396eb7ae9"
"1",2,2,2,2,2,2,2,2,"2a85264bf5b74593930eae2103209224"
"1",2,2,2,2,2,2,2,2,"2a8818bbc9ca4387b66331f72ca7e262"
"1",2,2,2,2,2,2,2,2,"2ab832b9019a4d45b3b1c5a93eb436d5"
"2",2,2,2,2,2,2,2,2,"2ada189776a548d89a6c2f2bff16b5c2"
"2",2,2,2,2,2,2,2,2,"2afa53514ef44be0bb7140cfd74c1d38"
"1",2,2,2,2,2,2,2,2,"2b11ec128a1249a9aaa725d1ab17bf15"
"1",2,2,2,2,2,2,2,2,"2b158ee9160b4b6380262b810b96eaf0"
"1",2,2,2,2,2,2,2,2,"2b746e4a31414a8182d62f080eb05b40"
"1",2,2,2,2,2,2,2,2,"2b97e7e06f6641feb008f820fcd27c45"
"1",2,2,2,2,2,2,2,2,"2b97ff1426c44de289a445eded0ccb86"
"2",2,2,2,2,2,2,2,2,"2ba53240d78141a3b9617b79d9ac92be"
"1",2,2,2,2,2,2,2,2,"2bc61f86f4464846a8be939b5d6326db"
"2",2,2,2,2,2,2,2,2,"2bec695a80774434b93d95a49dfced8a"
"1",2,2,2,2,2,2,2,2,"2bfb2d5d0484428fb2747b0cecd88b2b"
"1",2,2,2,2,2,2,2,2,"2c0855f44ac340e2b0988c8dba22d4df"
"2",2,2,2,2,2,2,2,2,"2c1a9a99c4364fa68ae89bf2ecf7eeb8"
"2",2,2,2,2,2,2,2,2,"2c43e276f7e94ef0af1888f2b51277c0"
"2",2,2,2,2,2,2,2,1,"2c61df53e09649b49a7da037174d0996"
"2",2,2,2,2,2,2,2,2,"2c86f891acf047ed8097ca1b4e2755e6"
"1",2,2,2,2,2,2,2,2,"2ca89116526a4a69a090fcf154b3a068"
