"PID","t31","t32","t33","t34","t35","t36","hhid"
4,2,,1,2,2,,"70ae12f096154729a14d2624aa5a59de"
8,2,,2,,,,"70d83bd5db6f46e092593b4bfc363ba3"
5,2,,2,,,,"721bf64da76042f7b93ac98e57773d34"
9,1,1,1,2,1,1,"7231cac3c984454fbb9963e15947dc38"
7,1,2,1,2,2,,"7253dbdbc83c4e6681974c40ce369e79"
4,2,,2,,,,"72decf6c6bcb4d4a9976894561e88bd4"
15,1,1,2,,,,"72e6998f6ca846fc9fa53cc11cf80bb3"
5,2,,1,2,2,,"7518e884894c45e5837ce4ce122c4fa1"
7,2,,1,2,2,,"7661a92f928a4dc9a3ca5cb239c2943a"
3,2,,2,,,,"76af9a9cff444689a63468adea7317c0"
3,2,,1,1,2,,"76ba3870411e42f19198e525fc9349e3"
6,2,,2,,,,"76f359c2499441ccb9011e13f09ff1cf"
7,2,,2,,,,"771926bbe1f24ec9b46db8d3c45adeb6"
9,98,,98,,,,"772652e7c84341bcb205a8b1fc5b7d00"
7,2,,2,,,,"77701c8f612b4deab520ed338ff3ba8e"
6,1,1,1,2,2,,"792b057e74f34f30b1efbd28f61c45b7"
7,2,,2,,,,"79e40a3ff2674380aeb23f2d3493d633"
9,1,2,1,2,2,,"7ad4ff9571914602868f53cc662bced5"
7,2,,2,,,,"7ada1d475efb4cc08cf27ad00bfeaa49"
6,2,,1,3,2,,"7b5815aa1a08493485f3d905579fac21"
3,2,,1,1,2,,"7bb26c5158de4736980944695e042f53"
3,2,,2,,,,"7cb69feba33a4076a1223747ed74de23"
4,2,,2,,,,"7ccd61fd57aa4a72a449a15d4cc8f7aa"
4,2,,2,,,,"7cf0cd150dc249309dbc0ce60dc2b09d"
12,2,,2,,,,"7d865b4503fb4df2b9b506ad6574db8f"
8,1,2,1,2,1,0,"7dbe8f8faf364ea0be634a61541b3d61"
4,2,,2,,,,"7effeabc4ed342d68e246c50c533e58b"
9,2,,2,,,,"7fa9c630b26d4bffa2e886a6d2dc7dcb"
9,2,,2,,,,"80705de247434eac8d01c99a7f006a97"
12,2,,2,,,,"80f30786d98847dcaf51293b98e26af2"
4,1,1,1,1,2,,"8133d8020dda480fae5bc280cb448bd7"
10,1,2,2,,,,"8150def5ffbf4a17871a9bbbf753855e"
3,1,2,1,1,2,,"8178a425444a4dfebf61cada4f8bd839"
4,2,,2,,,,"818b43a905b245e3ae6b306ace92953d"
6,1,1,1,1,2,,"8260cf63f01f481dbce7be784d1a634f"
6,2,,2,,,,"827e270545d246b4aa6d71242bf95909"
8,1,1,1,1,2,,"82ee2bbfbd4d43178a2be565297bc53c"
6,1,1,1,2,1,1,"82ef167080604670bd33e58801e83f90"
7,2,,2,,,,"836d348639404a8d8752976aa2b12c24"
10,2,,2,,,,"83d0fed73e694bdb9e0d020849793252"
4,2,,2,,,,"83d1f09fef504b6683d5e99997d63cda"
5,2,,1,2,2,,"84dc714744d94d7980b643f901b9afb2"
5,2,,2,,,,"851527301809472fb74628a837c5ebb2"
4,2,,2,,,,"86dc6b17270745839df7c9216705808b"
5,2,,2,,,,"881b32dbbbfd47ad898d435a7c977804"
4,1,3,1,2,2,,"88f986f6edb64cb583939d1732e2c621"
7,2,,2,,,,"8952c72850ac4c84a3086bbc723427b4"
5,2,,1,3,2,,"8967e39ffffe47249e7a7b83ea45068a"
-999999999,,,,,,,"89695f146bd74d64869b709a290d7c03"
13,2,,2,,,,"898a20f42ee8488cb0d8563ef21d1db1"
6,2,,2,,,,"89c852aab9a34a6ca26f86fac5ffb794"
4,2,,2,,,,"89e94a22f703436a8049b1dc8872d4dd"
12,2,,2,,,,"8a28f193ab584a64b6c8412af076be94"
14,1,3,1,3,2,,"8a627d794b3240638fa31e67d85fa282"
9,2,,2,,,,"8aae3e00032141138985f33a4ee4ac5a"
4,2,,2,,,,"8b0b41b599ee4ee7bcf30d265d1923ee"
-999999999,1,1,1,1,2,,"8b4d777ba5974738988aec0efdd7ef10"
10,2,,2,,,,"8b63cb63bfab43eebd403632eee825a2"
10,2,,1,2,2,,"8b78ea7e19b94b1f8ec1f6710774d003"
5,2,,2,,,,"8bb14e81d3b84807a12cfed594724f12"
12,2,,2,,,,"8beea5570da34cc48e31b41a0af2f581"
5,2,,1,1,2,,"8c25f710369e4bc8bccdcd227b940d39"
-999999999,,,,,,,"8dd083a1588f4bec9fe484e778878cdc"
5,2,,2,,,,"8df87ec021f94ad9b03185b5283c279e"
5,2,,2,,,,"8e275889cf9d4a2d9b918cca0296bf47"
8,1,3,2,,,,"8ec715ba51ee402f998c3cc182d29deb"
6,2,,2,,,,"8edb52c2aa144083baec4616c6739603"
8,1,1,2,,,,"8ee09f114c144bd192bce8c656660d7e"
7,98,,1,2,2,,"8ef19c13bc2c40768f94983065c7ee1c"
4,2,,2,,,,"8f222f9618624d03afb44548f35b8613"
8,2,,2,,,,"8f6724a9559747548bff8f3f5c7ccd1a"
5,2,,2,,,,"8f9d730b39f1418893033ecfd171ab85"
7,2,,2,,,,"905949a54d8444ceb1f179484be50218"
8,2,,2,,,,"9071fd7767284b7aaf52d96b02285f6e"
12,2,,2,,,,"90896177d9ab4f9cb640ed0d26102b68"
4,2,,2,,,,"90c75424a23346068b9c69082194b2b2"
5,2,,2,,,,"90cef1cd17c74e4aba6b4badd52a8284"
4,1,2,1,2,2,,"912e7827f70b4ff4870e7677f0efd5e8"
9,2,,2,,,,"924dae4582ab4da381f6f9fcec82c556"
7,2,,1,2,2,,"92e30209b31c4ab3b1c932b133d4b3b1"
9,2,,1,1,2,,"92e805f310474bd583cd464cc548c1b4"
4,2,,2,,,,"9303f456a1ed4c78b4c9a05b5ec5e510"
5,1,1,1,2,2,,"931a5da052ec43369771a3b3cdfc5a5c"
9,2,,1,2,2,,"936d6d229b9641ba89137abdfe501bf0"
8,2,,2,,,,"940eea86ddac4bf6b37255a9a3f61d5a"
9,2,,2,,,,"9467dbc180ae48b7a9a634766d5f6a06"
-999999999,,,,,,,"94d4f02347254835b037ffa097c37b56"
10,1,2,1,2,2,,"95273ec43706465d82378855f0c61ac5"
9,2,,2,,,,"952915b13afe42e09666a7166b950f9b"
13,2,,2,,,,"9577e263d2da4321be0d17643d1e75a9"
9,2,,2,,,,"958a368fa116418996e7711693042b45"
16,2,,2,,,,"95ecd3ff77734bfbae4dfd5d7f984ff2"
6,2,,2,,,,"95f27385361b4ae68e7030076d889a87"
18,2,,2,,,,"9667f85b9b2c47129792d5848c182b3b"
5,1,3,1,3,2,,"96b5e72b181245258379a42eae31581b"
6,2,,2,,,,"96be321f17d74fe8b29ee5d36ab5ac2d"
5,2,,1,2,2,,"970500789c8e4bc1a146547813053f14"
7,2,,2,,,,"976f4955f15648ec8316df40f7872b46"
5,2,,2,,,,"97aa986363af4011b2a4e1af3bb6cb52"
10,2,,2,,,,"9834be0072104008a2788b64689b3bd5"
14,2,,2,,,,"9871dbdcec2343c685be4cceea0015f9"
6,2,,2,,,,"993244dcd47c4a5193c160a2532f80a4"
-999999999,2,,2,,,,"994a67318ceb45688e8f485e9ff734ac"
5,1,1,1,2,2,,"9a0c48d484524e86bf68350ef4755aac"
4,2,,2,,,,"9afc9d8cadc54af0b4da94f33ec8ec62"
8,2,,2,,,,"9b2853a3791142088c41ddd6a75bfe4a"
7,2,,1,2,1,0,"9b81afb9f2314aceaf0a79c60a3452ac"
9,2,,2,,,,"9b91d76f77fd43f58e3e620645139638"
4,2,,2,,,,"9c013f19e5c6481ab56acc781b12fe14"
