"hhid","h9q01","h9q02","h9q24a","h9q24b","h9q26","h9q25","h9q27","h9q28","h9q29","h9q30_1","h9q30a","h9q30b","h9q30c","h9q30d","h9q31","h9q32a","h9q32b","h9q32c","h9q33","h9q34","h9q35","h9q36","h9q37","h9q38","h9q03","h9q04","h9q05","h9q06","h9q07","h9q08","h9q09a","h9q09b","h9q10","h9q11","h9q12","h9q13","h9q14","h9q15","h9q15_1","h9q15_2","h9q15_3","s915_4","h9q15_5","h9q16","h9q17","h9q22","h9q22a","h9q22b","h9q23","h9_respondent","dwellingVisit"
"04b011de772e4ce08e33e461bb1741eb",10,10,4,309,1,2000,2,3,,,,,,,1,96,,,6,2,,1,,15000000,4,10,12,13,14,6,30,10,1,20,2,,,10,13,,,1,80,1,2,23,2,,1,13,1
"04bfccbfe0c64dfebc28097777937f16",10,10,3,1,3,1988,1,3,,,,,,,2,,,,1,2,,1,,5000000,1,10,16,14,14,6,5,5,0.2,1,2,,,10,1,,,1,10,2,2,23,2,,1,1,1
"04c814d7b9cb4aa2b651aa2e31acf4e9",10,10,1,250,1,2015,1,3,,,,,,,1,2,,,6,2,,1,,30000000,4,10,12,14,11,,,,,10,1,1,20000,,,,,,100,8,4,22,2,,1,1,1
"04d55903a5d448c3953d1d1ceda1084d",10,10,1,80,2,1998,1,3,,,,,,,1,2,,,6,2,,1,,6000000,2,10,16,14,15,,20,3,0.5,2,2,,,10,2,3,4,1,80,1,2,23,2,,1,5,1
"04ee28189feb42c6a75acb852661aef1",10,10,1,8000,1,2004,1,3,,,,,,,1,3,,,2,2,,1,,5000000,4,10,16,14,17,6,15,0,0.3,6,2,,,10,2,4,7,1,60,2,4,23,2,,1,1,1
"0515ceaa3b6d4400bb337565e78db4e4",10,10,4,5000,1,1999,2,3,,,,,,,1,96,,,1,2,,1,,15000000,3,10,16,14,16,4,10,3,0.2,5,2,,,10,6,7,8,1,80,2,2,23,2,,1,1,1
"051abf68db894b34a1ecfa22bd2a2509",16,10,3,0,2,2014,1,3,,,,,,,2,,,,2,2,,1,,3500000,3,15,14,14,14,96,20,5,1.6,20,1,2,2000,10,2,3,,1,80,1,3,23,2,,2,2,1
"052f8d3f81c3477aa9366a24c54ddf83",11,10,1,65,1,2014,1,3,,,,,,,2,,,,6,2,,1,,40000000,1,10,12,14,14,2,30,60,0.2,5,1,2,2000,10,3,,,2,80,1,4,23,1,1,1,1,1
"0540d10333124c9ab290bb9daaf998cc",16,10,4,200,2,2011,1,3,,,,,,,1,1,,,2,2,,1,,4500000,2,15,12,14,14,96,10,10,0.5,20,1,2,1500,10,2,3,4,1,80,1,4,22,1,3,1,3,1
"054124cd4eff40ec97bf51a44fe4a93c",10,10,4,1200,2,1990,2,3,,,,,,,2,,,,5,2,,1,,2000000,2,10,16,14,16,2,15,3,0.2,2,2,,,10,4,5,,1,60,2,2,23,2,,2,2,1
"05743465c6254f7baedf141b6381f400",10,10,1,40,2,1970,1,3,,,,,,,2,,,,2,2,,1,,2000000,2,10,16,96,15,,15,5,0.5,4.5,2,,,10,3,4,,1,2,1,4,23,2,,1,1,1
"05863e44874d4d0bbe8abdc95d9249b2",10,10,4,1500,1,2009,2,3,,,,,,,1,96,,,1,2,,1,,1750000,2,10,12,14,15,,20,2,0.5,5,2,,,10,1,3,,1,40,2,5,23,1,1,1,1,1
"0586e2b9bcd24aa3bf31580492500327",10,10,1,15,2,1980,1,3,,,,,,,2,,,,2,2,,1,,1000000,1,10,16,14,15,,15,4,0.25,3,2,,,10,1,2,3,1,60,2,4,23,1,1,1,1,1
"058977f6550c4624b8d171b5d1a58a6e",10,10,4,1000,3,1994,4,3,,,,,,,2,,,,1,2,,1,,1500000,1,10,12,14,21,,,,,1,2,,,,,,,,20,2,8,23,2,,1,1,1
"0594b58cc0834586919fbbd39a0be23f",15,16,,,,,,,,,,,,,,,,,,,,,,,1,10,14,13,12,6,2,1,0.02,4,1,1,9000,10,3,,,1,40,2,2,22,1,2,1,3,1
"059ff457522a4a8fa64c8b2717080161",10,10,4,1200,2,2003,2,3,,,,,,,2,,,,5,2,,1,,1500000,2,10,16,14,17,1,30,5,0.2,3,2,,,10,3,4,5,1,40,2,4,23,1,2,1,2,1
"05add010c2404efab0880200dcdc9674",13,16,,,,,,,,,,,,,,,,,,,,,,,1,11,12,13,12,6,2,1,0.2,4,1,1,16800,10,1,2,,1,60,2,2,21,1,10,1,1,1
"05b5aece409440ff8a1231a07558d979",10,10,3,10000,1,1994,1,2,1994,2,,,,,1,3,,,2,1,1,2,1,10000000,3,10,12,13,13,,,,,10,2,,,,,,,,6,2,4,23,2,,1,1,1
"05b8817d114d47058c7877391323d14c",15,16,,,,,,,,,,,,,,,,,,,,,,,1,10,16,14,15,,10,2,0.1,2,2,,,10,1,,,1,20,2,4,23,1,2,1,1,1
"05bd23b2d9d84b128c7b45db8d2da17f",16,10,1,5,1,1960,1,3,,,,,,,2,,,,6,2,,1,,100000,1,15,14,14,14,6,5,1,0.3,2.5,2,,,10,2,,,1,40,1,4,22,2,,1,1,1
"05cef9765f92473eb465b6dc4fac72a4",10,10,4,150,1,1980,1,3,,,,,,,1,3,,,1,2,,1,,10000000,4,10,12,13,14,6,25,20,0.4,10,2,,,10,4,5,,1,80,1,4,23,2,,1,2,1
"05dafcf31b4d403aad84cdfff9d1fdfc",15,16,,,,,,,,,,,,,,,,,,,,,,,1,10,12,14,16,4,10,3,0.2,2,2,,,10,1,2,3,1,40,8,2,22,2,,1,2,1
"06017013809c4ccc99e9c3dcd7b3c10f",15,16,,,,,,,,,,,,,,,,,,,,,,,1,10,12,13,18,,,,,3,1,1,16800,13,,,,,40,1,4,22,1,3,1,1,1
