"hhid","PID","t31","t32","t33","t34","t35","t36"
"2ec765c0b7cb43888fd93a18a79252dc",8,2,,2,,2,
"2ee180123e2a40c7ba77d6df469c9817",6,2,,1,2,2,
"2ee24a84680e4852af8da664df0fd0e9",6,2,,2,,2,
"2ef4b34470ea4fafa4597f2756aeec99",8,2,,2,,2,
"2f08af1f0ac64ea398e23755ad050e37",7,2,,1,2,2,
"2f1a139a0e0646bc871ff544012d7080",6,2,,2,,2,
"2f1a7d2120d64757a214842e7a29b673",2,2,,1,3,2,
"2f3a098e58ac41a8b58f0fea74822b1d",5,2,,2,,2,
"2f4f8d7f02aa464b85274a488b590a20",5,2,,2,,2,
"2f505303b957477282e31e4c430c7c6d",5,2,,2,,2,
"2f86a692897145e79d040edb9392e798",3,1,1,1,1,2,
"2fd28e0b59404b58985133f3f37fb092",6,2,,2,,2,
"302d669d9ffa453a9fd5be6bb5989925",4,2,,2,,2,
"3081c63384054a30a8a0c91aa76bc95c",7,2,,2,,2,
"309a68a1a2c04e2c95fbb5342b4b28ef",15,1,1,1,1,2,
"30b3087b0d5f4ece9cfe1da01f254fe7",10,2,,2,,2,
"30c8347ecb774823a55230e9adddb16b",7,2,,2,,2,
"30e5e2170d65446aa2c2b3c73746527a",6,2,,2,,2,
"310b0b2ff59a41afb52ec2eaf10f1af2",6,2,,1,2,2,
"3125d7938c8a4df099a04c983c4ea29b",6,2,,2,,2,
"3125dcaadf714253ba8896dc6ac57c70",3,2,,1,1,2,
"3188d638cd534e29a4b21ff46f1c112b",3,2,,98,,2,
"31d7468554bd42e2b42353d2a12fd69e",4,2,,2,,2,
"31dfcc57039b4ac2a94a8baa379d1386",4,2,,2,,2,
"31e22abbb2994739990c351e46c36d26",4,2,,2,,2,
"31fa83987d9a417c88f912a27ead6a77",10,2,,2,,2,
"323b8b8c7a6d433a99e59d4225b54135",3,1,2,1,2,2,
"32afbe44aa4e466c96a5a5458bafa4ea",7,2,,2,,2,
"32e6bcbfd8754a888300f4d94e122d08",6,2,,2,,2,
"3320ef7c916142e5a2bbdc984aa4cf16",6,2,,2,,2,
"335fe1ef7c6546b3bf933b4aa1da6134",3,1,2,1,2,2,
"3360501c0d7c4eeea1c707f77e485b62",9,2,,1,2,2,
"339af980ba28466788f81b4308328dd0",8,2,,1,2,2,
"33a3fafffb4a474fb4621d9ae24c52b6",11,2,,2,,2,
"33f56acd52c4423984085f4eb6bf4ad1",3,2,,2,,2,
"33fb9c9f14a043efa04e7daa663430a7",7,2,,2,,2,
"340f7d1cd070433289233c47135b8390",4,1,1,1,3,2,
"34561220900b4fab84870a14380fb720",5,2,,2,,2,
"34a43e3984a24d5dbbc6cad6c04b692a",8,2,,2,,2,
"34d21965473246159336463c8a6ed1d9",8,2,,1,2,2,
"351ff4e6c63b4f46bfe6f61bf100ba4f",8,2,,2,,2,
"354a41485b2b464fb33495af6e8cf9aa",2,2,,2,,2,
"355bd9f88cba4233ba35e4af6cd99085",4,2,,2,,2,
"357decf44a614ba1a851b036ffc037ab",4,2,,2,,2,
