"hhid","PID","s8q02","s8q03","s8q04","s8q06","s8q08","s8q10","s8q12","s8q14","s8q15","s8q16","s8q17ab","s8q17","s8q18","s8q19a","h8q19b_oneDigit","h8q19b_twoDigit","h8q19b_threeDigit","h8q19b_fourDigit","h8q19b_superConfirm","s8q20a","h8q20b_oneDigit","h8q20b_twoDigit","h8q20b_threeDigit","h8q20b_fourDigit","h8q20b_superConfirm","s8q22","s8q22_1","s8q23","s8q24","s8q68","s8q26","s8q27","s8q69","s8q29","s8q30","s8q30b","s8q32","s8q33","s8q70","s8q71","s8q35","s8q72","s8q37","s8q38a","h8q38b_oneDigit","h8q38b_twoDigit","h8q38b_threeDigit","h8q38b_fourDigit","s8q39a","h8q39b_oneDigit","h8q39b_twoDigit","h8q39b_threeDigit","h8q39b_fourDigit","s8q41","s8q42","s8q73","s8q36a","s8q36b","s8q36c","s8q36d","s8q36e","s8q36f","s8q36g","s8q43a","s8q43b","s8q43c","s8q43d","s8q43e","s8q43f","s8q43g","s8q46","s8q77","s8q31a","s8q31c","s8q78","s8q31d1","s8q31d2","s8q79","s8q45b","s8q45c","s8q80","s8q45d1","s8q45d2","s8q100a","s8q100b","s8q100c","h8q101b_oneDigit","h8q101b_twoDigit","h8q101b_threeDigit","h8q101b_fourDigit","s8q101a","s8q101d"
"e7d77ca7f81a484b91e61dc6a76f941b",1,1,,2,1,2,2,2,1,2,,,,,"SELLING FIREWOOD",9,96,962,9624,1,"SELLING FIREWOOD",11111,2,21222,210,1,3,,,,,,,,,,,2,2,1,2,5,8,2,,,,,,,,,,,,,,6,6,6,6,6,6,6,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"e7d77ca7f81a484b91e61dc6a76f941b",2,2,1,2,2,2,2,2,2,1,,,,,"SUBSISTENCE FARMER",6,63,631,6310,1,"GROWING SORGHUM",11111,1,11222,111,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"e7dbc267231649b099209104332b687e",1,2,2,2,2,2,2,2,2,1,,,,,"SUBSISTENCE CROP FARMER GROWING MAIZE SOYA BEANS AND CASSAVA",6,61,611,6114,1,"COMMERCIAL CROP FARMER",11111,1,11222,111,1,6,2,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
"e7dbc267231649b099209104332b687e",2,1,,1,2,2,2,1,1,2,,,,,"COMMERCIAL CROP FARMER GROWING MAIZE, SOYA BEANS AND CASSAVA",6,61,611,6114,1,"COMMERCIAL CROP FARMER",11111,1,11222,111,1,6,2,,,,,,,,,,,,,,,5,1,"CROP FARM LABORER",9,92,921,9211,"CROP FARM LABORER",11111,1,16222,161,1,7,5,0,3,5,4,0,0,3,0,0,3,3,5,5,0,2,,,,,,,96,,,60000,2,,,,,,,,,,
"e8030f91ebcd45eb9f4069e5c5d83fcb",1,1,,1,2,2,2,2,1,2,,,,,"Secondary School Teacher",2,23,233,2330,1,"Secondary School",161111,85,852,8521,1,1,,1,1,1,2,1,1,,9,4,,,,,5,4,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,4,1,580000,4,,1,,,,,,,,,,,,,,,,
"e8030f91ebcd45eb9f4069e5c5d83fcb",2,2,1,1,2,2,2,2,1,2,,,,,"Secondary School Teacher",2,23,233,2330,1,"Secondary School",161111,85,852,8521,1,1,,2,1,1,2,1,1,,9,4,,,,,1,4,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,4,1,800000,4,,2,,,,,,,,,,,,,,,,
"e81dd4fafebd4642b9f785a854f97eda",1,1,,2,2,2,2,1,1,2,,,,,"HARVESTING GREEN GRAMS",9,92,921,9211,1,"FOOD CROPS MAINLY FOR HOME CONSUMPTION",11111,1,11222,111,1,6,3,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,5,5,5,5,5,5,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
"e81dd4fafebd4642b9f785a854f97eda",2,1,,2,2,2,2,1,1,2,,,,,"WEEDING HOUSEHOLD'S OWN COTTON GARDEN",9,92,921,9211,1,"COTTON FOR SALE",11111,1,11222,119,1,6,1,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"e81dd4fafebd4642b9f785a854f97eda",3,2,2,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"e81dd4fafebd4642b9f785a854f97eda",4,2,2,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"e81dd4fafebd4642b9f785a854f97eda",5,2,1,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"e865dcc805124dffb79ffd356d8b2b0d",1,1,,1,2,2,2,2,1,2,,,,,"Assistant Engineer",3,31,311,3112,1,"LOCAL GOVERNMENT",151111,84,841,8411,1,1,,2,1,1,1,1,2,6,12,4,,,,,1,4,2,,,,,,,,,,,,,,0,8,8,8,8,8,0,,,,,,,,4,1,1200000,4,,1,,,,,,,,,,,,,,,,
"e8a411bfd7c2447786c98774ee1141e9",1,2,2,2,2,2,2,1,1,2,,,,,"Farmer",6,61,611,6111,1,"Subsistence crop Farming",11111,1,12222,122,1,6,2,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,5,5,5,5,5,0,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
"e8a411bfd7c2447786c98774ee1141e9",2,1,,2,2,2,2,1,1,2,,,,,"Farmer",6,61,611,6111,1,"Subsistence crop Farming",11111,1,12222,122,1,6,2,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,0,5,5,5,5,5,5,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
"e8a411bfd7c2447786c98774ee1141e9",3,2,2,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"e8a411bfd7c2447786c98774ee1141e9",4,2,2,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
"e8a411bfd7c2447786c98774ee1141e9",5,2,2,2,2,2,2,2,2,2,2,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,12
