"hhid","PID","t2a_ta","t2a_tb","t2a_tc","t2a_td","t2a_te","t2a_tf","t2a_tg","t2a_th","t2a_ti","t2a_tj","t2a_tk","t2a_tl","t2a_tm","t2a_tm1","t2a_tn","t2a_to","t2a_tp","t2a_tq","t2a_tr","t2a_ts","t2a_tt","t3"
"44b7eb6679d04f2192783b1c29b05033",3,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
"451328a22e46469495762214d4b1df10",15,1,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2
"466fd80fc52344ce99ab19c4f102e4eb",3,2,,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
"478bb11b7570489b81a7b195c95db5bb",6,1,2,1,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,4
"47dbb99a6fe142329ddabfef5d78d640",7,1,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2
"487fbda86e8e40ca8f2d68ac4bf3f5be",14,1,1,1,1,,,,,,,,,,,,,,,,,,5
"489b6a0849fe448b9483256266506ef2",5,1,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2
"496e720d7b67421b8350646ddf9af9f2",3,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,0
"49987fd967404dcd86454fb94fb6fd55",9,1,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2
"49a0ea12aca04db3812c4704772e5186",7,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"4aa7e3e3aa76461eb2006f013c593752",5,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,7
"4b285f0f20c646dea7e3dd2da5a0cc5c",6,1,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,5
"4b451405a99342a5a1343b0154c8c557",3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
"4b7b477a6d214019ab531b245c5c6474",6,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2
"4bba574bbf8f46ccbc10019d13da3841",11,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"4ce75b49d19f496f9dec50c50813251f",6,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"4d163b2ea24c4d54806ef89c90376f19",9,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
"4d653bb8ed4c40c6a5db54dcfdd0ebcb",6,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"4d77a6468adb430faa1279387ee1a0d8",8,1,2,2,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
"4f4a1fbe2ba741a88426a21e99551e35",3,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
"4fcac595a4bf40d69cba13807e4dfe71",7,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,3
"505523711cd2452fb0d7d946216ae482",4,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0
"5057ade8d6ee44db9a9fdb29ef5f15d3",4,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"50e0bd6fa19a4d4f8c96669910359c91",9,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2
"50f1b984182f4ad383b4dcdf8685981a",6,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
"5194755e4fc140498ff85f1759ca8895",7,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7
