"hhid","hhidold","batch","region","regurb","subreg","district","dc_2018","s1aq02a","cc_2018","s1aq03a","sc_2018","s1aq04a","pc_2018","urban","response_status","year","month","day","wave","wgt"
"24a52c69750d44b3a62ff9affcb233b1","e01e5c42078446a8a46d9424574f054e",502,2,20,4,"LUUKA",229,"LUUKA",1,"IKUMBYA",4,"IKUMBYA",2,0,1,"2019","05","25",8,986.894215676039
"2518fc022fa74be6b43585e877e4accf","09c865966539496a8242c1018e90ef5f",833,4,41,14,"BUSHENYI",402,"IGARA",2,"RWENTUUHA TOWN COUNCIL",10,"RWENTUUHA",3,1,1,"2020","01","20",8,3036.22767741671
"25433274635a41ac80e8eeb62a694a1a","5ea0ff6c6cdc4a3da2ece713f7a38d90",584,3,30,11,"ARUA",303,"VURRA",5,"VURRA",4,"ERUBA",4,0,1,"2019","07","03",8,7531.34571061014
"254b5177919248e58082e007fa510e11","5bc7131c15ec434da6129b665f07204f",,2,20,4,"KAMULI",205,"BUGABULA",1,"NAMWENDWA",8,"BULOGO",3,0,1,"2019","11","08",8,4441.02408418802
"25723a685ea44c71818d35eca6ec3d87","693ab0aa032b435cbd372e70848fb021",401,2,20,7,"SOROTI",211,"SOROTI",1,"SOROTI",5,"OPUYO",3,0,1,"2019","12","14",8,740.170600927286
"25bca54a351240c7900a48203fade4b4","a6f4d797a8c443d8bd09c62d89df8f6b",692,3,30,9,"AMOLATAR",315,"KIOGA",1,"APUTI",5,"AMAI",3,0,1,"2019","11","02",8,582.636367548126
"25d8fe84cc5f4da8ad14c7edb29a9ba6","da3a99f963484fac9b94610bf831af1b",465,2,20,6,"NAMISINDWA",223,"BUBULO",1,"MAGALE TOWN COUNCIL",35,"BUTINDUYI",4,0,1,"2020","01","26",8,888.204769776538
"25db106efa724efdb5c0420e2bd97944","64fa5b910c4c49dbbc4857602d0d672e",348,2,20,4,"JINJA",204,"KAGOMA",3,"BUDONDO",1,"BUWAGI",1,0,1,"2019","07","10",8,986.894154846295
"25ef06fd5b5e476592286c005f1f0ef8","c358e16e89db4f0eb0a304faa6b8042c",502,2,20,4,"LUUKA",229,"LUUKA",1,"IKUMBYA",4,"IKUMBYA",2,0,1,"2019","05","26",8,986.894215676039
"2628668b68a743a887d2ac87bc06bd7f","a08435dd2e1b4ecd81cef70d913547f6",432,2,20,4,"MAYUGE",214,"BUNYA",1,"KIGANDALO",8,"BUGONDO",1,0,1,"2020","02","14",8,2220.51192444134
"26336aadad9e4c54a2988382eb410df0","9508fec209f64f518fbcd94c2a832faf",375,2,20,7,"KUMI",208,"KUMI",1,"KANYUM",2,"OMURANG",14,0,1,"2019","09","15",8,634.432021861629
"26372ce413f748b98a3b3d1b1ee64608","7baae6fd5a6946fabdae27d7f12e7768",663,3,30,11,"NEBBI",310,"PADYERE",3,"NEBBI",6,"KALOWANG",3,0,1,"2020","02","17",8,582.636367548126
"2645b471d6ef469aae958aff6ace5e8e","6ab431369c09447893380947e1e2fa9c",809,3,31,11,"ZOMBO",330,"OKORO",1,"PAIDHA TOWN COUNCIL",7,"NYIBOLA",3,1,1,"2020","01","28",8,1075.90649951912
"265c4799c1da4a2395c2fc4729c8ef36","4fe323b06d52415ca709b9bfe2ccd6e4",803,3,30,11,"ZOMBO",330,"OKORO",1,"ATYAK",2,"OGUSI",3,0,1,"2019","09","19",8,2621.86374708019
"266cabd629b44c0c919b3a907286d29d","d34202dfb31441fe9590889a17fe9251",63,1,11,1,"KAMPALA",102,"KCCA",1,"NAKAWA DIVISION",5,"MUTUNGO I",15,1,1,"2019","06","24",8,1087.52519718249
"26768b1d2b1c4607839b37dabeb8f1f6","2ebeec35d766400bb532f402fe7533dc",188,1,11,2,"WAKISO",113,"BUSIRO",1,"WAKISO",13,"BULOBA",2,1,1,"2019","08","05",8,976.268770332719
"2685d3b1b9234db18251e00d64a692ad","7a5ab624f7244d989fc6434a9f6d130c",703,3,31,9,"DOKOLO",317,"DOKOLO",1,"DOKOLO TC",7,"WESTERN",5,1,1,"2020","01","30",8,836.816160348861
"269057df6c874f1da1b7d05fd9c2907c","450bc474b7504eabab56b5d6ccaac417",1056,4,40,13,"KYEGEGWA",422,"KYAKA",1,"RUYONZA",7,"KATIIRWE",2,0,1,"2019","06","30",8,9108.68303225013
"26a74b4ae08b47dd8bb32c4f2017a928","8a87e2bb4d5545e6ba52489555900b46",842,4,40,12,"HOIMA",403,"BUGAHYA",1,"BUHANIKA",1,"KATEREIGA",2,0,1,"2019","11","01",8,4554.34121305607
"26c05771d2a0402ca79673bd662a8a43","a01dae8d1b104d79b35b56c0b3952ba1",445,2,20,6,"BUDUDA",218,"MANJIYA",1,"BUDUDA",3,"BUKIBINO",2,0,1,"2020","01","19",8,986.894154846295
"26c6c03b42fb410fb8196891d615f3f6","76e9399ba1ab460ebead70e562b92533",295,1,10,2,"LWENGO",124,"BUKOTO",1,"KYAZANGA TOWN COUNCIL",4,"NAKATEETE",4,0,1,"2019","04","07",8,650.845868489066
"26cdf966ad3d4347a3b64baeba4acc3d","c9ff94a24e1b400ebf7bce938cd398a2",957,4,40,14,"NTUNGAMO",411,"RUSHENYI",4,"RUBAARE",3,"NYANGA",3,0,1,"2020","01","25",8,3460.14798348576
"26e121dde63d417aaf2c33e54394ce52","88a888e1eea94eab989ac1b0f7a0609a",885,4,40,13,"KASESE",406,"BUSONGORA",2,"MUHOKYA",12,"KAHENDERO",1,0,1,"2020","02","18",8,1518.11399024286
"26f85299131843a7b0f5a8f38b87c728","2c3db9307a7c4219aafb679d36f2be09",278,1,11,2,"KALUNGU",122,"KALUNGU",1,"LUKAYA TOWN COUNCIL",5,"CENTRAL",2,1,1,"2019","07","04",8,1952.53779987248
"271001d8f4724a4e86a7ebfe81ea52bc","403276b5d7af41ccbab65f788ad3fa48",1022,4,41,14,"ISINGIRO",418,"ISINGIRO",2,"NYAKITUNDA",9,"RUHIIRA",7,1,1,"2019","04","14",8,3036.22767741671
"27152e297a8c4597b78ec2bb9ee0c49d","88f986f6edb64cb583939d1732e2c621",854,4,40,12,"HOIMA",403,"HOIMA MUNICIPALITY",3,"BUJUMBURA DIVISION",1,"KIHOMBOZA",3,0,1,"2019","08","09",8,4554.34121305607
"275628d5ba744b6585a7e7b6f5ba8e45","e5a22292244144b29d4c634518b564ab",345,2,20,4,"JINJA",204,"BUTEMBE",1,"BUSEDDE",2,"NABITAMBALA",4,0,1,"2020","01","19",8,807.458881615034
"2793689c81fe4a66a7cfe86d1b3150f9","e0083ad3194c4bcf8ea38b0350f3f773",145,1,10,2,"SSEMBABULE",111,"LWEMIYAGA",1,"NTUUSI",2,"BULONGO",1,0,1,"2019","12","16",8,5050.75205529246
"2799950e3b464fd1b3458b74361da9b9","ea9b82d9780e473c8604b8aec66ca080",469,2,20,6,"NAMISINDWA",223,"BUBULO",1,"MAGALE",21,"BUTSEBENI",4,0,1,"2019","07","01",8,4441.02384888269
"27a3f77de23c471d9b1e72f05e244cec","9a2ac8bf9cb042a190359588cd94f844",1010,4,40,14,"ISINGIRO",418,"BUKANGA",1,"NGARAMA",4,"KAGAAGA",3,0,1,"2019","08","15",8,828.062093840921
"27b502370a394aa0ae44daede183990c","764957176e884e719481957dbd356a06",301,1,10,2,"LWENGO",124,"BUKOTO",1,"NDAGWE",8,"MPUMUDDE",2,0,1,"2019","06","30",8,2525.37602764623
"27c26465f6b24f4b905d7e487640e1cf",,,1,10,3,"KASSANDA",107,"KASSANDA",3,"KITUMBI",5,"KITUMBI",10,0,1,"2020","01","23",8,10101.5033945552
"27deb27ff8c24d329308cc89acb73891","72101337b59849bbb9c5cfe4a4dfefab",248,1,10,3,"NAKASEKE",116,"NAKASEKE",1,"KAPEEKA",2,"NAMUSAALE",5,0,1,"2019","04","03",8,1010.15031048242
"281c312bde9647dfb1cf585a93608ee0","2cb7f630fc0a4e25bc66894bbe872f42",107,1,10,3,"MUBENDE",107,"KASAMBYA",2,"KASAMBYA",2,"KYAKASA",6,0,1,"2019","12","08",8,3367.16803686164
"282cd74076c2438f921c0ccf6160fdfe","8658c239083f48c1a35fa7666868d94a",,3,30,8,"ABIM",314,"LABWOR",1,"ALEREK",3,"OTUMPILI",4,0,1,"2019","05","22",8,1747.90916888032
"2888a6c6ce074d8f93c49ae5f7abcc7c","26df7db98a224f2d8cc3df26834c8cb3",287,1,10,2,"LWENGO",124,"BUKOTO",1,"KISEKKA",1,"NAKALEMBE",5,0,1,"2020","02","18",8,918.318578365917
"28920737d6ee46adb1af0fb12e729fcc","a2808d4f7723482399f6a9414f940907",757,3,30,9,"ALEBTONG",323,"MOROTO",1,"ABIA",2,"ATINKOK",4,0,1,"2019","08","20",8,1747.90921438073
"28af7e0f8a5848d2a619672b42748bdd","57e32c02860643b6a6dfded348d9c057",878,4,40,13,"KASESE",406,"BUKONZO",1,"KYONDO",8,"KASOKERO",4,0,1,"2020","01","17",8,910.868272918113
"28b5dd676913440182de271b1669ac69","0b1dda6c9bc74ad6b7b18d9de2497355",414,2,20,5,"TORORO",212,"TORORO",1,"MOLO",5,"TUBA",4,0,1,"2020","02","22",8,888.204769776538
"28cd2ccd0f144e4c816092654cfc2727","da82b4386c4f4f07af7d0f31cfdb6dfb",490,2,20,4,"BUYENDE",226,"BUDIOPE",1,"BUYENDE",2,"NDOLWA",5,0,1,"2019","11","09",8,740.170600927286
"28cf2e844e8f4445bf3bfccc02b66b49","8f9d730b39f1418893033ecfd171ab85",725,3,30,11,"MARACHA",320,"MARACHA",1,"OLEBA",4,"PARANGA",4,0,1,"2019","10","31",8,655.465936770049
"28cfecdc40fb49b1b9bb757b7bb7626e","ea659d0ef762451290ac0940bbb82a92",379,2,20,7,"KUMI",208,"KUMI",1,"ONGINO",7,"OBOTIA",13,0,1,"2019","06","25",8,555.127981110336
"28d1746496ae4f63975319dc27f41ae4","dba162b5ba0f4188b144056a4e2c5073",560,3,30,11,"ARUA",303,"TEREGO",4,"BILEAFE",2,"NICU",4,0,1,"2019","04","09",8,5243.72749416039
