"hhid","s17q01","s17q02","s17q03","s17q04","s17q05","s17q06","s17q07","s17q08","s17q09","s17q10A","s17q10B","s17q10C","s17q10D","s17q10E","s17q10F","s17q10G","s17q10H","s17q10I","s17q10J","s17q10K","s17q10L","s17q11A","s17q11B","s17q11C","s17q11D","s17q11E","s17q11F","s17q11G","s17q11H","s17q11I","s17q11J","s17q11K","s17q11L","s17q11M","s17q11X"
"06a5f788e6b248dfa229a7cd68fcf706",1,1,2,2,3,1,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"06b36c2c9668465ead2665345a45355a",3,1,2,1,3,2,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"06ca2b010f7a4724a51adc2505df2e10",2,1,2,1,3,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"06f7cf0c474046c4926955c6674a42fa",1,1,2,1,3,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"072bede7173b42a9b15f6d873387591a",1,1,2,2,2,1,9,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"07446a0d279c4168ae5f4a5aab842b4d",1,1,3,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"074abb9330f84c72b0f136f6fc38d00d",1,1,3,1,3,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"074ed7ecb495445785d908b0f56915cd",1,1,1,1,3,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0753ace2876b4833a3bb185a04440fe8",2,1,1,1,3,2,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"076ab269f25445b78942024965446513",1,1,1,1,3,2,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"078096ed82bd4b369317a5c4329d7dd8",1,1,2,1,2,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"079da0c0a73b465b9c0be7a5bd9bf920",1,1,2,2,2,2,11,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"079e6812fb50405bbe8cb744b5ef6afd",5,1,2,2,2,2,4,11,1,,,,1,1,,,,,,,,1,,,,,,,,,,,,,
"07b346723489448b99ea7d75a5cd2458",2,1,2,1,3,2,,4,1,,,,1,1,,,,,,,,1,,,,,,,,,,,,,
"07b5c28dd52642b69def9db9df074dc0",1,1,2,1,2,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"07b6c4f12d054292b7b786ef2dd45835",5,1,2,1,3,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"07cc2b8f1a324976927f0a604636306c",1,1,2,1,2,2,11,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"07cc9720213b487385812471bc510785",1,1,2,2,3,1,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0809936839be4f8b99293dee0663fc53",1,1,2,2,3,2,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"082757b50eee4bc29551c3c3c30639da",4,1,2,1,2,2,2,96,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0838ec2a8a6147e4936272a5b65b909c",1,1,1,2,3,1,,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"083ade125b70414ba6257ff498afe1f4",2,1,2,1,2,2,3,,1,,,,1,1,1,1,,,,,,1,,,,,,,,,,,,,
"0860ea9bebf44de1ac82a1e0e866a570",1,1,2,1,3,2,,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0870d2355d1c498caee91988946dea92",1,1,2,2,1,1,11,11,1,1,1,1,1,1,1,1,1,1,,,1,1,,,1,1,,,,,,,,,
"088271b31f1d44d0b28c819a8e44b373",2,2,1,2,3,2,96,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"088d7d7eb37b4683b391bf34b48482d2",2,2,1,1,3,2,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"088fd07aa1784231a7b800bf54b769fd",1,1,3,2,3,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"089f1c1e30d94938ad4a28294030f670",2,1,1,1,3,2,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"08a622bfb26f4199bde601e058ccf58d",1,2,2,2,1,1,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,,,,,,,,,
"08e85672338a4515b2a6ab61f4c5c32d",1,1,2,1,3,2,96,96,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"08f5b8dae9774128b354032393f6d40f",1,1,2,2,3,2,7,,1,,,,,,,1,1,1,,,,,,,1,,,,,,,,,,
"08fbc3b8e815467dbc0727e5da6aa1c7",1,1,3,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"08fecb64841f493c87c3c24f97d3b1f0",3,1,2,1,2,2,,3,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,
"090f972306904a6d8a21853b2415b8e6",2,1,1,2,3,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0912933b0f25409293f4ba5329e9fc83",1,1,3,1,0,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"091517b1a65147a7a3aa3b6c93500495",1,1,2,2,3,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"091931736aa74c1c900335dad7a3f709",1,1,2,2,2,2,11,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"093cbecd77b441179f3704a9d5bb4367",1,1,2,1,2,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"09864be193f04de1a1c62f8e2e3fb3f5",1,1,1,1,2,2,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"09b2599428504211a28805728ba84135",1,1,1,1,3,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"09b8b362e25d4e57a13012b8d3b6c86e",1,1,1,1,3,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"09c9f51b98214abca30f1cc1accd7cb9",3,1,1,1,3,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"09f959c903de48f1a7656b5f988d01fe",1,1,1,1,3,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
