"hhid","s12q02","NA1a","NA1b","NA1c","NA1d","NA1e","NA1f","NA1g","NA1h"
"28af7e0f8a5848d2a619672b42748bdd",2,2,2,2,2,2,2,2,2
"28b5dd676913440182de271b1669ac69",1,2,2,2,2,2,2,2,2
"28cd2ccd0f144e4c816092654cfc2727",2,2,2,2,2,2,2,2,2
"28cf2e844e8f4445bf3bfccc02b66b49",2,2,2,2,2,2,2,2,2
"28cfecdc40fb49b1b9bb757b7bb7626e",1,2,1,2,2,2,2,2,2
"290cd1cd5c39493e8f65f335fc47eaf8",1,2,2,2,2,2,2,2,2
"29a6ed7931bf49a2bfe1f1b80e6e491a",1,2,2,2,2,2,2,2,2
"29d372b1412b47f8a56376ec4cf28707",1,2,2,2,2,2,2,2,2
"29dcaae51e0c4eb1af6e61890ed94c84",1,2,2,2,2,2,2,2,2
"29f23d5b1700445689991d258b142d29",1,2,2,2,2,2,2,2,2
"2a144bc68a624f7785191df152117293",1,2,2,2,2,2,2,2,2
"2a1f769cb89f47558ef4589a2ff3ac5e",2,2,2,2,2,2,2,2,2
"2a4a4d639a864da0802b0c7528b8527e",1,2,2,2,2,2,2,2,2
"2a85bdf4a0974fc28b8cba8aebdb3e94",2,2,2,2,2,2,2,2,2
"2a887351ce30434a883317613cfcd74a",2,2,2,2,2,2,2,2,2
"2abee6b40eee427f9120d72d7042384c",1,2,2,2,2,2,2,2,2
"2b1b98ad61374253a463d772ee88c4fb",2,2,2,2,2,2,2,2,1
"2b400e53b4d8472b98f5f9147db5b084",1,2,2,2,2,2,2,2,2
"2b537f6c15e7415f88963d61ebc2486a",2,2,2,2,2,2,2,2,2
"2b6c76f8194a46f897098ecc94c09088",1,2,2,2,2,2,2,2,2
"2b6eb2adc2734720993dcdf13102a524",1,2,2,2,2,2,2,2,2
"2b71b8e86e624fe7bd1d49b2bf2101fe",2,2,2,2,2,2,2,2,2
"2bafd9bbf41b48978104d132662ae0b1",1,2,2,2,2,2,2,2,2
"2c26585736444489a370ee90f939872c",1,2,2,2,2,2,2,2,2
"2c560128c0cd46e2ba361fa7df515376",3,2,2,2,2,2,2,2,2
"2c67277ecc1b43d8b277ad2a8ed09109",1,2,2,2,2,2,2,2,2
"2c708c76f5864747a13486b30dc934ad",1,2,2,2,2,2,2,2,2
"2c7a8030ba1443ee83f2412f80843d3b",3,2,2,2,2,2,2,2,2
"2c99b66b5ed0447781e3823a484a5d6b",1,2,2,2,2,2,2,2,2
"2cb804b7711d43ba95d3df4f65936505",2,2,2,2,2,2,2,2,2
"2ccb2dbb24b4411ab872957322c924ba",2,2,2,2,2,2,2,2,2
"2cd3e8dd3996444786090cdb6dde6914",1,2,2,2,2,2,2,2,2
"2d046279a8c649f1ac617159ae75b191",1,2,2,2,2,2,2,2,2
"2d14ac0f77fe4f4f9da392eaa4c1c155",2,2,2,2,2,2,2,2,2
"2d380a13be4645bf9037ffe8ba12ee18",1,2,2,2,2,2,2,2,2
"2d683a86b3e247ed8e8d9c59c8dba618",1,2,2,2,2,2,2,2,2
"2d796876879e48508df58827dd3a0084",1,2,2,2,2,2,2,2,2
"2d7be721effb4608a669a2f7bcf83acd",1,2,2,2,2,2,2,2,2
"2d960783a5b049c782e95da6a18838c8",1,2,2,2,2,2,2,2,2
"2da5204de266443b8b04628888383c5f",2,2,2,2,2,2,2,2,2
"2db5794700a442ada4dacc58fbefc9ca",3,2,2,2,2,2,2,2,2
"2dd2557915434dc3ad1a4e556487a285",1,2,2,2,2,2,2,2,2
"2dd973cdd68e4aebb9022299bb510b2d",5,2,2,2,2,2,2,2,2
"2e0d1e0be385438b985f3cc71a95d5e9",3,2,2,2,2,2,2,2,2
"2e51386a842c4e8fb28678dcb527c9f1",1,2,2,2,2,2,2,2,2
"2e52712b6bed4118b543e6d8488ee019",1,2,2,2,2,2,2,2,2
