"HHID","district_code","urban","region","regurb","rotate","HHID_old","equiv","hsize","nrrexp30","cpexp30","welfare","plinen","ctpline","hpline","spline","poor_13"
"H03003-04-01","102",1,1,11,1,1021002903,3.41659995913506,5,3439842,1400915,410031.90625,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H03005-04-01","102",1,1,11,1,1021002905,3.52663335204124,5,988200.25,402395.125,114101.7734375,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H03006-04-01","102",1,1,11,1,1021002906,7.76256674528122,9,1953754.125,801696.75,103277.2734375,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H03010-04-01","102",1,1,11,1,1021002910,3.11509996652603,4,859464.0625,351251.40625,112757.6640625,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H03401-04-01","102",1,1,11,1,1021003301,4.49153327941895,5,1315921.25,532869.75,118638.71875,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H03408-04-01","113",0,1,10,1,1021003308,3.20266664028168,5,508072.0625,203743.1875,63616.734375,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H03409-04-01","102",1,1,11,1,1021003309,13.0608333945274,16,1587924.25,641372.375,49106.54296875,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H03409-04-02","113",1,1,11,1,2102100330903,2.11249999701977,3,524149.84375,210308.328125,99554.2421875,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H03410-04-01","102",1,1,11,1,1021003310,9.09216672182083,10,1531149.125,619777.0625,68166.046875,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H03410-04-02","102",1,1,11,1,,3.00516664981842,4,792774.875,321162.59375,106870.140625,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H03503-04-01","102",1,1,11,1,1021003403,5.53553330898285,6,625804.0625,254431.140625,45963.2578125,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H03511-04-01","102",1,1,11,1,1021003411,2.29843330383301,3,424596.0625,171528.09375,74628.265625,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H03512-04-01","102",1,1,11,1,1021003412,1.86659997701645,2,381083.09375,153854.203125,82424.8359375,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H03515-04-01","102",1,1,11,1,1021003415,2.72933328151703,3,245201.390625,99240.25,36360.62109375,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H03601-04-01","103",0,1,10,1,1033000301,2.5699333101511,4,396005.1875,155218.1875,60397.75,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H03602-04-04","103",0,1,10,1,,7.24329999089241,10,900112.5,353470.1875,48799.60546875,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H03603-04-05","103",0,1,10,1,,3.51603335142136,4,568768.8125,225066.421875,64011.45703125,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H03604-04-04","103",0,1,10,1,2103300030402,7.14123336970806,9,689087.375,270717.84375,37909.1171875,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H03604-04-08","103",0,1,10,1,,3.85993331670761,5,716518.625,281839.0625,73016.5625,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H03604-04-09","103",0,1,10,1,,10.2018000483513,12,927336.9375,366674.0625,35942.09375,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H03605-04-02","103",0,1,10,1,,4.91253328323364,7,758165.8125,298247.125,60711.47265625,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H03607-04-01","103",0,1,10,1,1033000307,4.98336666822433,6,682000.8125,268618.21875,53902.9609375,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H03608-04-01","103",0,1,10,1,1033000308,0.863699972629547,1,186982.78125,73040.1484375,84566.578125,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H03704-04-01","123",0,1,10,1,1033000504,2.77090001106262,3,342443.21875,139307.625,50275.2265625,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H03705-04-01","123",0,1,10,1,1033000505,3.71869999170303,4,800162.75,329225.4375,88532.3984375,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H03706-04-01","123",0,1,10,1,1033000506,3.87723332643509,6,623167.75,254242.296875,65573.125,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H03707-04-01","123",0,1,10,1,1033000507,6.31620001792908,7,736755.125,302322.25,47864.578125,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H03707-04-02","113",1,1,11,1,,0.874333322048187,1,190920.03125,78337.4765625,89596.8125,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H03709-04-01","123",0,1,10,1,1033000509,3.51173329353333,4,293675.96875,120023,34177.7109375,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H03711-04-02","123",0,1,10,1,103300051102,2.53659997880459,4,405225.75,166405.015625,65601.6015625,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H03711-04-03","123",0,1,10,1,2103300051102,2.66616663336754,4,339437,139327.625,52257.66015625,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H03711-04-04","103",0,1,10,1,3103300051105,5.35843335092068,8,860751.75,350319.34375,65377.1953125,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H03804-04-01","104",1,1,11,1,1041000204,0.992266654968262,1,280119.25,112061.3515625,112934.7109375,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H03807-04-01","104",1,1,11,1,1041000207,2.63146668672562,4,528903.875,212234.21875,80652.4453125,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H03809-04-01","104",1,1,11,1,1041000209,4.88153332471848,6,1337722,540295.75,110681.5625,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H03810-04-01","104",1,1,11,1,1041000210,3.34993332624435,5,397889.8125,161153.890625,48106.59765625,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H03811-04-01","104",1,1,11,1,1041000211,4.43633329868317,6,606453.1875,245395.859375,55315.01953125,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H03813-04-01","104",1,1,11,1,1041000213,2.2978333234787,3,752461.8125,308727.40625,134355.875,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H03901-04-01","104",0,1,10,1,1043000401,1.00483334064484,1,259035.375,101679.7109375,101190.625,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H03902-04-01","104",0,1,10,1,1043000402,2.53949999809265,4,438276.3125,172157.078125,67791.71875,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H03903-04-01","104",0,1,10,1,1043000403,4.93889993429184,7,734277.875,291798.625,59081.703125,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H03906-04-01","104",0,1,10,1,1043000406,2.64716666936874,3,175353.3125,68989.3125,26061.56640625,11463.4453125,15946.951171875,21257.646484375,29571.796875,1
"H03907-04-01","104",0,1,10,1,1043000407,3.45509994029999,4,1171571.125,470934.9375,136301.390625,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H03908-04-01","104",0,1,10,1,1043000408,3.46176663041115,5,565162.9375,216996.484375,62683.7421875,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H03909-04-01","104",0,1,10,1,1043000409,7.16626667976379,9,948657.875,367292.5,51252.9765625,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H03909-04-02","104",0,1,10,1,104300040906,6.50120005011559,9,1434595,547746.625,84253.15625,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H03910-04-01","104",0,1,10,1,1043000410,8.34196662902832,11,2911712,1134402.25,135987.390625,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H04001-04-01","104",0,1,10,1,1043000601,5.25429999828339,6,808151.0625,324263.53125,61713.93359375,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H04002-04-01","109",0,1,10,1,1043000602,4.52393332123756,6,1005819.25,403005.0625,89082.890625,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H04003-04-01","104",0,1,10,1,1043000603,7.54083329439163,9,662057,266572.28125,35350.5078125,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H04003-04-03","102",1,1,11,1,104300060305,1.9970999956131,2,350431.96875,141198.046875,70701.5390625,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H04004-04-01","104",1,1,11,1,1043000604,2.86079996824265,3,327495.5625,133003.09375,46491.57421875,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H04005-04-01","104",0,1,10,1,1043000605,5.53373330831528,8,319177.3125,128577.078125,23235.142578125,11463.4453125,15946.951171875,21257.646484375,29571.796875,1
"H04006-04-01","104",0,1,10,1,1043000606,0.86273330450058,1,141059.515625,57249.94140625,66358.796875,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H04007-04-01","104",0,1,10,1,1043000607,1.73803329467773,2,196353.25,79761.4375,45891.77734375,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H04009-04-01","104",0,1,10,1,1043000609,0.992266654968262,1,123932.6796875,50307.9296875,50700.01171875,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H04010-04-01","104",0,1,10,1,1043000610,6.81956660747528,8,581855,237324.0625,34800.4609375,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H04010-04-02","104",0,1,10,1,,1.00483334064484,1,413057.78125,166209,165409.515625,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H04011-04-01","113",1,1,11,1,1043000611,4.79883325099945,6,1465408.375,589738.6875,122892.1015625,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H04011-04-02","113",1,1,11,1,104300061103,1.43283331394196,2,294773.625,118723.2421875,82859.078125,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H04201-04-01","116",0,1,10,1,1163001101,10.0096333622932,12,918334.5625,361558.5625,36121.05859375,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H04202-04-01","116",1,1,11,1,1163001102,3.16326665878296,4,653531,258175.5,81616.734375,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H04203-04-01","116",0,1,10,1,1163001103,4.37659993767738,6,534832.9375,210527.703125,48103.02734375,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H04204-04-01","116",0,1,10,1,1163001104,5.88243329524994,8,402636.78125,159038.8125,27036.228515625,11463.4453125,15946.951171875,21257.646484375,29571.796875,1
"H04205-04-01","116",0,1,10,1,1163001105,3.30509996414185,5,738801.75,289038.9375,87452.40625,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H04206-04-01","116",0,1,10,1,1163001106,0.86273330450058,1,126280.328125,50146.125,58124.7109375,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H04207-04-01","116",0,1,10,1,1163001107,4.52159994840622,7,1123578.75,440347.5625,97387.5546875,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H04208-04-01","116",1,1,11,1,1163001108,1.00483334064484,1,152533.078125,59976.16015625,59687.66796875,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H04208-04-02","116",0,1,10,1,2116300110803,6.41003331542015,8,502332.21875,198896.40625,31028.919921875,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H04209-04-01","116",0,1,10,1,1163001109,9.0901999771595,12,890969.5,351415.71875,38658.74609375,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H04210-04-01","116",0,1,10,1,1163001110,2.80509996414185,4,264782.34375,104023.2734375,37083.625,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H04501-04-01","122",1,1,11,1,1051000301,4.90496665239334,6,400282.53125,162276.546875,33084.12890625,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H04505-04-01","122",1,1,11,1,1051000305,1.33369997143745,2,1511207.375,610752.5,457938.4375,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H04508-04-02","122",1,1,11,1,,1.73433330655098,3,523992.875,212070.609375,122277.8828125,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H04508-04-03","122",1,1,11,1,,6.53173339366913,8,1128510.375,456258.1875,69852.5390625,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H04508-04-04","102",1,1,11,1,,2.34916666150093,3,560104.4375,224724.65625,95661.4375,11463.4453125,17313.681640625,21257.646484375,32106.240234375,0
"H04509-04-01","122",0,1,10,1,1051000309,5.50916665792465,7,846885.4375,342278.1875,62128.8515625,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
"H04602-04-01","118",0,1,10,1,1053000402,3.77416664361954,5,444220.9375,170649.484375,45215.14453125,11463.4453125,15946.951171875,21257.646484375,29571.796875,0
