"hhid","district","urban","region","regurb","subreg","equiv","hsize","usize","nrrexp30","fnrfxp30","cpexp30","fcpexp30","welfare","plinen","ctpline","hpline","spline","poor_2019","quints","decile","qurban","qregion"
"148096d4034442419b34538a7bc0dcf6",110,0,1,10,2,2.81136664748192,4,6,1320655.25,0,784348.6875,0,278991.96875,11463.4453125,15946.951171875,30611.45703125,42584.00390625,0,5,10,5,5
"14bfad8162b7405dbeb905bf436d082c",410,0,4,40,14,3.54459995031357,4,5,747158.25,0,419965.9375,0,118480.4921875,11463.4453125,15188.53515625,30611.45703125,40558.76171875,0,4,8,5,4
"15112bb7ee2c432d83517c273c01cf0b",226,0,2,20,4,7.89496664702892,10,11,639568.125,0,350969.4375,0,44454.8359375,11463.4453125,15445.5849609375,30611.45703125,41245.17578125,0,2,3,2,2
"1518dce3648d4658ab52d14192ff5d62",102,1,1,11,1,5.07943326234818,6,9,5473041,0,3096086,0,609533.75,11463.4453125,17313.681640625,30611.45703125,46233.65234375,0,5,10,5,5
"1553987122bb403eac103947ccf14569",323,0,3,30,9,6.18910002708435,7,7,352429.9375,0,191176.515625,0,30889.2265625,11463.4453125,15610.2099609375,30611.45703125,41684.78515625,1,1,1,1,2
"156df40d4f9c476c80ebbb625b8d60ec",124,0,1,10,2,3.14643329381943,4,5,683614.25,0,375124.625,0,119222.1796875,11463.4453125,15946.951171875,30611.45703125,42584.00390625,0,4,8,5,4
"15765778f2514e5db3c9fa6bb742cd00",318,0,3,30,8,4.54336667060852,5,5,141015.65625,0,77889.8125,0,17143.6328125,11463.4453125,15610.2099609375,30611.45703125,41684.78515625,1,1,1,1,1
"1588fa8bc10343c6a213180e185b4c77",417,0,4,40,14,2.91583332419395,4,4,355311,0,200987.9375,0,68929.84375,11463.4453125,15188.53515625,30611.45703125,40558.76171875,0,3,6,4,3
"158f0ced0e9a41aa975d268a4c9b98a0",322,0,3,30,10,1.77863335609436,2,3,203808.796875,0,112596.6171875,0,63305.12890625,11463.4453125,15610.2099609375,30611.45703125,41684.78515625,0,3,5,3,4
"158fdcb371864b379252dd73d6a526b2",102,1,1,11,1,2.25916665792465,3,3,1231675.125,86987.8984375,704738.75,47716.890625,311946.34375,11463.4453125,17313.681640625,30611.45703125,46233.65234375,0,5,10,5,5
"15c0f37757dc46b28873a77b5e8a913d",102,1,1,11,1,2.25916665792465,3,3,951389.25,139543.09375,544917.6875,75184.8515625,241202.96875,11463.4453125,17313.681640625,30611.45703125,46233.65234375,0,5,10,5,5
"15d2c6fc84e440a2b5aafd69093157f2",304,0,3,30,10,6.21729999780655,7,8,535778.4375,0,298171.0625,0,47958.2890625,11463.4453125,15610.2099609375,30611.45703125,41684.78515625,0,2,4,2,3
"15f9cb22388f428f9f3dcf081ccfc10a",314,0,3,30,8,1.87916666269302,2,2,154026.421875,0,86242.78125,0,45894.1640625,11463.4453125,15610.2099609375,30611.45703125,41684.78515625,0,,,,
