"interview__key","EA_code","class_id","s3q53","s3q54","s3q55a","s3q55b","s3q56","s3q57","s3q58","s3q59","s3q60","s3q61","s3q62","s3q63","s3q64","s3q65","s3q66","s3q53_v2","s3q54_v2","s3q55a_v2","s3q55b_v2","s3q56_v2","s3q57_v2","s3q58_v2","s3q59_v2","s3q60_v2","s3q60_oth_v2","s3q61_v2","s3q61_oth_v2","s3q62_v2","s3q63_v2","s3q64_v2","s3q65_v2","s3q66_v2"
"98-86-51-07","150cdba4fed14b4a87d582d398577942",1,2,2,23,28,2,4,1,,,,1,34,1,2,1,2,2,16,20,2,4,1,,,,,,1,36,1,2,1
"98-86-51-07","150cdba4fed14b4a87d582d398577942",5,1,2,18,25,1,1,1,,,,1,34,1,1,1,1,2,16,8,2,3,1,,,,,,1,22,1,2,1
"98-86-51-07","150cdba4fed14b4a87d582d398577942",2,2,2,23,31,2,2,1,,,,1,39,1,2,1,2,2,16,22,2,4,1,,,,,,1,30,1,2,1
"98-86-51-07","150cdba4fed14b4a87d582d398577942",4,2,1,17,27,1,2,1,,,,1,42,1,2,1,2,2,21,19,2,4,1,,,,,,1,39,1,2,1
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",1,2,2,90,76,2,2,1,,,,1,136,5,4,1,,,,,,,,,,,,,,,,,
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",4,1,2,76,58,1,2,1,,,,1,119,4,3,1,,,,,,,,,,,,,,,,,
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",6,1,2,74,58,1,2,1,,,,1,63,1,2,1,,,,,,,,,,,,,,,,,
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",5,1,2,54,59,1,1,1,,,,1,100,2,3,1,,,,,,,,,,,,,,,,,
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",2,2,2,80,82,2,2,1,,,,1,116,4,4,1,,,,,,,,,,,,,,,,,
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",3,1,2,89,57,1,2,1,,,,1,125,3,3,1,,,,,,,,,,,,,,,,,
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",0,1,2,85,116,2,1,1,,,,1,138,5,4,1,,,,,,,,,,,,,,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",3,1,1,32,20,1,2,1,,,,1,43,2,2,1,1,1,28,22,1,2,1,,,,,,1,35,2,2,1
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",4,2,1,32,13,1,2,1,,,,1,39,2,2,1,2,1,32,14,1,2,1,,,,,,1,17,2,2,1
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",6,1,2,14,14,1,2,1,,,,1,26,2,2,1,1,2,13,14,1,2,1,,,,,,1,0,2,1,1
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",2,2,1,29,28,1,2,1,,,,1,53,2,2,1,2,1,32,32,1,2,1,,,,,,1,55,2,2,1
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",1,2,2,18,14,1,2,1,,,,2,29,2,2,1,2,2,23,23,1,2,1,,,,,,1,43,2,2,1
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",5,1,1,24,14,1,2,1,,,,1,25,2,2,1,1,1,18,9,1,2,1,,,,,,1,0,2,2,1
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",0,2,2,45,61,1,2,1,,,,1,45,2,2,1,2,2,52,51,1,2,1,,,,,,1,0,2,2,1
"13-39-91-73","166579dc0f4d4f19bdc2c8e6c2e31a0f",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13-39-91-73","166579dc0f4d4f19bdc2c8e6c2e31a0f",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
