"interview__key","EA_code","year_id","s3q30a","s3q30b","s3q31a","s3q31b","s3q32a","s3q32b","s3q33a","s3q33b"
"52-89-16-75","7cbedb93a4d54e71a77f6282ce45b604",1,27,18,0,0,12,8,10,3
"19-39-69-85","7ce87defa03b47d28ca7a85807a835eb",0,,,,,,,,
"19-39-69-85","7ce87defa03b47d28ca7a85807a835eb",1,,,,,,,,
"65-64-33-71","7d81ff7c7b1f45f682a2f778de1129d3",1,,,,,,,,
"65-64-33-71","7d81ff7c7b1f45f682a2f778de1129d3",0,,,,,,,,
"97-27-45-82","7dfe77c10a6d423da8b1fe1af366ff1a",0,,,,,,,,
"97-27-45-82","7dfe77c10a6d423da8b1fe1af366ff1a",1,,,,,,,,
"55-30-97-28","7e25926b2a7440e69f203158d6092c89",1,20,14,1,0,10,6,8,8
"55-30-97-28","7e25926b2a7440e69f203158d6092c89",0,18,26,0,0,10,7,5,9
"75-75-86-64","811f0969148848799fdeb81412c961b7",0,25,27,1,2,22,24,1,0
"75-75-86-64","811f0969148848799fdeb81412c961b7",1,21,35,6,9,15,26,0,0
"97-06-48-22","819574132d744fb58ef76356982dab3e",0,15,30,0,0,6,9,6,12
"97-06-48-22","819574132d744fb58ef76356982dab3e",1,23,22,1,0,9,5,7,9
"72-95-56-08","819dc7fb58f3487c92ce386410f0e484",0,31,28,3,1,18,11,6,4
"72-95-56-08","819dc7fb58f3487c92ce386410f0e484",1,16,16,1,0,4,1,3,3
"87-78-16-27","8240331915e74700903cd16936938273",1,,,,,,,,
"87-78-16-27","8240331915e74700903cd16936938273",0,,,,,,,,
"16-96-21-37","82a63311f1c84741bfd4b8e903e89fa4",0,63,95,2,3,52,65,5,20
"16-96-21-37","82a63311f1c84741bfd4b8e903e89fa4",1,58,90,3,1,29,50,15,26
"95-91-78-39","8513e8bd23c14fd198c0e28c57e978fb",0,32,19,1,0,25,16,4,3
"95-91-78-39","8513e8bd23c14fd198c0e28c57e978fb",1,35,29,2,0,26,16,2,5
"07-11-57-90","856d1989c4994c0bb213bd69b1cc4e28",0,22,18,0,0,1,7,7,7
"07-11-57-90","856d1989c4994c0bb213bd69b1cc4e28",1,17,16,1,0,7,7,6,3
"47-45-18-73","85d0e9e0a4f1496aaf118e34270048e6",0,2,2,0,0,1,2,1,0
"47-45-18-73","85d0e9e0a4f1496aaf118e34270048e6",1,4,4,0,0,2,1,0,0
"88-86-92-84","87888fff4c0c45d49f76bf7f930652a3",0,44,56,0,1,32,36,5,8
"88-86-92-84","87888fff4c0c45d49f76bf7f930652a3",1,41,46,5,1,27,25,3,3
"68-41-72-67","8873c7ea649641a9aa484ff5a2071ce5",1,15,12,0,0,7,4,8,13
"68-41-72-67","8873c7ea649641a9aa484ff5a2071ce5",0,23,31,0,0,7,4,8,13
