"interview__key","EA_code","community_needs_id","s6dq1","s6dq2","s6qd3","s6dqd4","s6dq5","s6dq6","s6dq7","s6dq08a","s6dq08b","s6dq08c","s6dq09","s6dq10","s6dq11","s6dq12a","s6dq12b","s6dq12c","s6dq13","s6dq14","s6dq15","s6dq16","s6dq17a","s6dq17b","s6dq17c","s6dq17_oth0"
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",102,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",105,1,1,1,,1,1,1,104,,,2,1,2017,103,,,0,0,,2,,,,
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",104,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"97-89-02-98","13a34d9690b54ab7b9eee7d1ddafbe9f",111,1,1,1,,1,1,2,104,,,2,5,,,,,,,,,,,,
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",106,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",104,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",105,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",101,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",103,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",110,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",102,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"75-98-78-48","13f4006f120f4c3b800e7ccaedd4aee4",111,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"98-86-51-07","150cdba4fed14b4a87d582d398577942",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"98-86-51-07","150cdba4fed14b4a87d582d398577942",101,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"98-86-51-07","150cdba4fed14b4a87d582d398577942",111,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"98-86-51-07","150cdba4fed14b4a87d582d398577942",105,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"98-86-51-07","150cdba4fed14b4a87d582d398577942",106,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"98-86-51-07","150cdba4fed14b4a87d582d398577942",104,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"98-86-51-07","150cdba4fed14b4a87d582d398577942",103,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"98-86-51-07","150cdba4fed14b4a87d582d398577942",102,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"98-86-51-07","150cdba4fed14b4a87d582d398577942",110,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"98-86-51-07","150cdba4fed14b4a87d582d398577942",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"98-86-51-07","150cdba4fed14b4a87d582d398577942",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",106,1,2,1,,1,1,1,107,,,1,1,2016,105,,,1800000,0,,1,0,0,0,1
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",104,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",111,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",110,2,2,2,2,,,,,,,,,,,,,,,,,,,,
