"EA_code","t0_EA_code","interview__key","schoolmeeting_id","s3q39a","s3q38","s3q39b","s3q40","s3q41"
"1816825774944a8fa45dde05fc0e79dc","4201080809","77-05-32-40",4,5,1,2018,,3
"1816825774944a8fa45dde05fc0e79dc","4201080809","77-05-32-40",1,5,1,2018,1,2
"1816825774944a8fa45dde05fc0e79dc","4201080809","77-05-32-40",5,6,1,2018,,1
"1816825774944a8fa45dde05fc0e79dc","4201080809","77-05-32-40",2,4,1,2018,1,3
"191a256cbcac47a2966d2f058153bc70","4122030305","34-03-95-15",3,2,1,2018,1,3
"191a256cbcac47a2966d2f058153bc70","4122030305","34-03-95-15",5,,,,,
"191a256cbcac47a2966d2f058153bc70","4122030305","34-03-95-15",1,3,1,2017,1,2
"191a256cbcac47a2966d2f058153bc70","4122030305","34-03-95-15",2,2,1,2018,1,3
"191a256cbcac47a2966d2f058153bc70","4122030305","34-03-95-15",4,11,1,2017,,5
"195e5a9b4fcb4d7dbe18eaf543a9283b","1021010102","41-72-74-44",4,,,,,
"195e5a9b4fcb4d7dbe18eaf543a9283b","1021010102","41-72-74-44",2,,,,,
"195e5a9b4fcb4d7dbe18eaf543a9283b","1021010102","41-72-74-44",5,,,,,
"195e5a9b4fcb4d7dbe18eaf543a9283b","1021010102","41-72-74-44",1,,,,,
"195e5a9b4fcb4d7dbe18eaf543a9283b","1021010102","41-72-74-44",3,,,,,
"1a257e54482e4ecf8b6aedc7cc89f8fd","1121020202","01-51-54-41",2,6,1,2018,1,2
"1a257e54482e4ecf8b6aedc7cc89f8fd","1121020202","01-51-54-41",1,6,1,2018,1,96
"1a257e54482e4ecf8b6aedc7cc89f8fd","1121020202","01-51-54-41",5,7,1,2018,,1
"1a257e54482e4ecf8b6aedc7cc89f8fd","1121020202","01-51-54-41",3,6,1,2018,1,2
"1a257e54482e4ecf8b6aedc7cc89f8fd","1121020202","01-51-54-41",4,,,,,
"1dce5f2d227147f4a9f8e27ad9423f5d","3231040401","32-45-14-74",4,5,1,2018,,3
"1dce5f2d227147f4a9f8e27ad9423f5d","3231040401","32-45-14-74",1,5,1,2018,1,2
"1dce5f2d227147f4a9f8e27ad9423f5d","3231040401","32-45-14-74",2,4,1,2018,1,5
"1dce5f2d227147f4a9f8e27ad9423f5d","3231040401","32-45-14-74",3,3,1,2018,1,2
"1dce5f2d227147f4a9f8e27ad9423f5d","3231040401","32-45-14-74",5,2,1,2018,,2
"2000d66f97714765bc8e85e671ad8283","4151101004","48-93-82-89",3,7,1,2018,1,6
"2000d66f97714765bc8e85e671ad8283","4151101004","48-93-82-89",4,4,1,2018,,3
"2000d66f97714765bc8e85e671ad8283","4151101004","48-93-82-89",1,8,1,2018,1,2
"2000d66f97714765bc8e85e671ad8283","4151101004","48-93-82-89",5,8,1,2018,,1
"2000d66f97714765bc8e85e671ad8283","4151101004","48-93-82-89",2,8,1,2018,1,3
"20188c3dd7af4786a15806bc3d9cc605","4151050504","36-96-62-29",4,4,1,2018,,4
"20188c3dd7af4786a15806bc3d9cc605","4151050504","36-96-62-29",1,5,1,2018,1,2
"20188c3dd7af4786a15806bc3d9cc605","4151050504","36-96-62-29",3,5,1,2018,1,6
"20188c3dd7af4786a15806bc3d9cc605","4151050504","36-96-62-29",2,4,1,2018,1,3
"20188c3dd7af4786a15806bc3d9cc605","4151050504","36-96-62-29",5,4,1,2018,,6
"20eb974e8c9b4361a62ccde0ce8611ad","4192040405","02-80-79-45",5,3,1,2018,,2
"20eb974e8c9b4361a62ccde0ce8611ad","4192040405","02-80-79-45",4,10,1,2017,,4
"20eb974e8c9b4361a62ccde0ce8611ad","4192040405","02-80-79-45",3,2,1,2018,1,3
"20eb974e8c9b4361a62ccde0ce8611ad","4192040405","02-80-79-45",1,2,1,2018,1,2
"20eb974e8c9b4361a62ccde0ce8611ad","4192040405","02-80-79-45",2,3,1,2018,1,3
"218cb290a69743c69e521b6122a6d507","3231070704","20-02-77-43",3,5,1,2018,1,2
"218cb290a69743c69e521b6122a6d507","3231070704","20-02-77-43",1,5,1,2018,1,2
"218cb290a69743c69e521b6122a6d507","3231070704","20-02-77-43",4,6,1,2017,,3
"218cb290a69743c69e521b6122a6d507","3231070704","20-02-77-43",2,3,1,2018,1,5
"218cb290a69743c69e521b6122a6d507","3231070704","20-02-77-43",5,6,1,2017,,2
"21e9da8b1950402aa3169598c2efeb4e","4062010103","25-50-00-53",1,1,1,2018,1,2
"21e9da8b1950402aa3169598c2efeb4e","4062010103","25-50-00-53",3,2,1,2018,1,6
