"EA_code","t0_EA_code","interview__key","community_groups_id","s6bq01","s6bq02","s6bq03","s6bq04","s6bq05"
"120df4dbf75444178f10871b972869ac","1042080804","24-08-96-20",310,,,,,
"120df4dbf75444178f10871b972869ac","1042080804","24-08-96-20",301,,,,,
"120df4dbf75444178f10871b972869ac","1042080804","24-08-96-20",303,,,,,
"120df4dbf75444178f10871b972869ac","1042080804","24-08-96-20",307,,,,,
"120df4dbf75444178f10871b972869ac","1042080804","24-08-96-20",313,,,,,
"120df4dbf75444178f10871b972869ac","1042080804","24-08-96-20",302,,,,,
"120df4dbf75444178f10871b972869ac","1042080804","24-08-96-20",306,,,,,
"120df4dbf75444178f10871b972869ac","1042080804","24-08-96-20",312,,,,,
"120df4dbf75444178f10871b972869ac","1042080804","24-08-96-20",305,,,,,
"120df4dbf75444178f10871b972869ac","1042080804","24-08-96-20",311,,,,,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502","76-22-41-77",304,,,,,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502","76-22-41-77",305,,,,,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502","76-22-41-77",307,,,,,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502","76-22-41-77",309,,,,,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502","76-22-41-77",312,,,,,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502","76-22-41-77",310,,,,,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502","76-22-41-77",302,,,,,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502","76-22-41-77",303,,,,,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502","76-22-41-77",311,,,,,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502","76-22-41-77",308,,,,,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502","76-22-41-77",306,,,,,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502","76-22-41-77",301,,,,,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502","76-22-41-77",313,,,,,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305","97-89-02-98",302,2,,,,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305","97-89-02-98",312,2,,,,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305","97-89-02-98",303,2,,,,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305","97-89-02-98",307,1,1,2014,2,10
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305","97-89-02-98",311,2,,,,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305","97-89-02-98",306,1,1,2015,2,30
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305","97-89-02-98",309,1,1,2018,3,0
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305","97-89-02-98",301,2,,,,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305","97-89-02-98",313,2,,,,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305","97-89-02-98",305,2,,,,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305","97-89-02-98",304,1,1,2015,2,30
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305","97-89-02-98",310,1,1,2004,3,2
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305","97-89-02-98",308,2,,,,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301","75-98-78-48",305,2,,,,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301","75-98-78-48",311,2,,,,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301","75-98-78-48",307,2,,,,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301","75-98-78-48",306,2,,,,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301","75-98-78-48",301,2,,,,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301","75-98-78-48",304,2,,,,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301","75-98-78-48",303,2,,,,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301","75-98-78-48",312,2,,,,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301","75-98-78-48",309,2,,,,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301","75-98-78-48",302,2,,,,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301","75-98-78-48",313,2,,,,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301","75-98-78-48",308,2,,,,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301","75-98-78-48",310,2,,,,
"150cdba4fed14b4a87d582d398577942","1231080801","98-86-51-07",309,2,,,,
"150cdba4fed14b4a87d582d398577942","1231080801","98-86-51-07",311,2,,,,
"150cdba4fed14b4a87d582d398577942","1231080801","98-86-51-07",302,2,,,,
"150cdba4fed14b4a87d582d398577942","1231080801","98-86-51-07",313,2,,,,
"150cdba4fed14b4a87d582d398577942","1231080801","98-86-51-07",310,2,,,,
"150cdba4fed14b4a87d582d398577942","1231080801","98-86-51-07",307,2,,,,
"150cdba4fed14b4a87d582d398577942","1231080801","98-86-51-07",305,2,,,,
"150cdba4fed14b4a87d582d398577942","1231080801","98-86-51-07",312,2,,,,
"150cdba4fed14b4a87d582d398577942","1231080801","98-86-51-07",301,2,,,,
"150cdba4fed14b4a87d582d398577942","1231080801","98-86-51-07",303,2,,,,
"150cdba4fed14b4a87d582d398577942","1231080801","98-86-51-07",306,1,1,2012,9,23
"150cdba4fed14b4a87d582d398577942","1231080801","98-86-51-07",304,1,2,2016,1,25
"150cdba4fed14b4a87d582d398577942","1231080801","98-86-51-07",308,2,,,,
"155c5c1261c04747be7944ce3daa6ac2","2231212105","16-77-56-74",310,,,,,
"155c5c1261c04747be7944ce3daa6ac2","2231212105","16-77-56-74",301,,,,,
"155c5c1261c04747be7944ce3daa6ac2","2231212105","16-77-56-74",309,,,,,
"155c5c1261c04747be7944ce3daa6ac2","2231212105","16-77-56-74",313,,,,,
"155c5c1261c04747be7944ce3daa6ac2","2231212105","16-77-56-74",311,1,1,2017,2,1
"155c5c1261c04747be7944ce3daa6ac2","2231212105","16-77-56-74",303,,,,,
"155c5c1261c04747be7944ce3daa6ac2","2231212105","16-77-56-74",304,,,,,
"155c5c1261c04747be7944ce3daa6ac2","2231212105","16-77-56-74",306,1,4,2013,1,35
"155c5c1261c04747be7944ce3daa6ac2","2231212105","16-77-56-74",302,,,,,
"155c5c1261c04747be7944ce3daa6ac2","2231212105","16-77-56-74",308,,,,,
"155c5c1261c04747be7944ce3daa6ac2","2231212105","16-77-56-74",312,1,1,2016,2,12
"155c5c1261c04747be7944ce3daa6ac2","2231212105","16-77-56-74",305,,,,,
"155c5c1261c04747be7944ce3daa6ac2","2231212105","16-77-56-74",307,1,1,2015,2,5
"15cebd17f95047b3b242caab688fc2a0","1221060618","70-23-73-82",312,,,,,
"15cebd17f95047b3b242caab688fc2a0","1221060618","70-23-73-82",303,,,,,
"15cebd17f95047b3b242caab688fc2a0","1221060618","70-23-73-82",308,,,,,
"15cebd17f95047b3b242caab688fc2a0","1221060618","70-23-73-82",307,,,,,
"15cebd17f95047b3b242caab688fc2a0","1221060618","70-23-73-82",309,,,,,
"15cebd17f95047b3b242caab688fc2a0","1221060618","70-23-73-82",302,,,,,
"15cebd17f95047b3b242caab688fc2a0","1221060618","70-23-73-82",310,,,,,
"15cebd17f95047b3b242caab688fc2a0","1221060618","70-23-73-82",306,,,,,
"15cebd17f95047b3b242caab688fc2a0","1221060618","70-23-73-82",304,,,,,
"15cebd17f95047b3b242caab688fc2a0","1221060618","70-23-73-82",313,,,,,
"15cebd17f95047b3b242caab688fc2a0","1221060618","70-23-73-82",301,,,,,
"15cebd17f95047b3b242caab688fc2a0","1221060618","70-23-73-82",305,,,,,
"15cebd17f95047b3b242caab688fc2a0","1221060618","70-23-73-82",311,,,,,
"15e14a2aedca4f1dad88f6a30e6d8a2c","4241050502","48-96-08-15",307,2,,,,
"15e14a2aedca4f1dad88f6a30e6d8a2c","4241050502","48-96-08-15",303,2,,,,
"15e14a2aedca4f1dad88f6a30e6d8a2c","4241050502","48-96-08-15",313,2,,,,
"15e14a2aedca4f1dad88f6a30e6d8a2c","4241050502","48-96-08-15",304,1,3,2007,2,8
"15e14a2aedca4f1dad88f6a30e6d8a2c","4241050502","48-96-08-15",305,2,,,,
"15e14a2aedca4f1dad88f6a30e6d8a2c","4241050502","48-96-08-15",310,2,,,,
"15e14a2aedca4f1dad88f6a30e6d8a2c","4241050502","48-96-08-15",302,2,,,,
"15e14a2aedca4f1dad88f6a30e6d8a2c","4241050502","48-96-08-15",311,2,,,,
"15e14a2aedca4f1dad88f6a30e6d8a2c","4241050502","48-96-08-15",306,2,,,,
"15e14a2aedca4f1dad88f6a30e6d8a2c","4241050502","48-96-08-15",301,2,,,,
"15e14a2aedca4f1dad88f6a30e6d8a2c","4241050502","48-96-08-15",309,2,,,,
"15e14a2aedca4f1dad88f6a30e6d8a2c","4241050502","48-96-08-15",308,2,,,,
"15e14a2aedca4f1dad88f6a30e6d8a2c","4241050502","48-96-08-15",312,2,,,,
"166579dc0f4d4f19bdc2c8e6c2e31a0f","4033010102","13-39-91-73",309,2,,,,
"166579dc0f4d4f19bdc2c8e6c2e31a0f","4033010102","13-39-91-73",305,2,,,,
"166579dc0f4d4f19bdc2c8e6c2e31a0f","4033010102","13-39-91-73",310,2,,,,
"166579dc0f4d4f19bdc2c8e6c2e31a0f","4033010102","13-39-91-73",307,2,,,,
"166579dc0f4d4f19bdc2c8e6c2e31a0f","4033010102","13-39-91-73",303,2,,,,
"166579dc0f4d4f19bdc2c8e6c2e31a0f","4033010102","13-39-91-73",311,2,,,,
"166579dc0f4d4f19bdc2c8e6c2e31a0f","4033010102","13-39-91-73",302,2,,,,
"166579dc0f4d4f19bdc2c8e6c2e31a0f","4033010102","13-39-91-73",313,2,,,,
