"EA_code","t0_EA_code","initiative_id","interview__key","s3mq1","s3mq2"
"120df4dbf75444178f10871b972869ac","1042080804",16,"24-08-96-20",,
"120df4dbf75444178f10871b972869ac","1042080804",17,"24-08-96-20",,
"120df4dbf75444178f10871b972869ac","1042080804",18,"24-08-96-20",,
"120df4dbf75444178f10871b972869ac","1042080804",19,"24-08-96-20",,
"120df4dbf75444178f10871b972869ac","1042080804",20,"24-08-96-20",,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502",1,"76-22-41-77",,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502",2,"76-22-41-77",,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502",3,"76-22-41-77",,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502",4,"76-22-41-77",,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502",5,"76-22-41-77",,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502",6,"76-22-41-77",,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502",7,"76-22-41-77",,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502",8,"76-22-41-77",,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502",9,"76-22-41-77",,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502",10,"76-22-41-77",,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502",11,"76-22-41-77",,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502",12,"76-22-41-77",,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502",13,"76-22-41-77",,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502",14,"76-22-41-77",,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502",15,"76-22-41-77",,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502",16,"76-22-41-77",,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502",17,"76-22-41-77",,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502",18,"76-22-41-77",,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502",19,"76-22-41-77",,
"12810e18eb6c41d7ac10cbb28f40fdf3","3211050502",20,"76-22-41-77",,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305",1,"97-89-02-98",2,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305",2,"97-89-02-98",1,3
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305",3,"97-89-02-98",2,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305",4,"97-89-02-98",2,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305",5,"97-89-02-98",2,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305",6,"97-89-02-98",2,
