"t0_hhid","hhid","h9q03a__1","h9q03a__2","h9q03a__3","h9q03a__4","h9q03a__5","h9q03a__7","h9q03a__6","h9q11a","h9q12a","h9q13a","h9q14a","h9q15a","h9q16a"
"H1651001","702d4b2225ab4dbe92a40506296adf2d",0,0,0,0,0,0,0,2,2,2,,2,2
"H4040201","70c760d051444ba5b9d938d3b795f629",0,0,0,0,0,0,0,2,2,2,,2,2
"H1640701","70846cd35e6a4d7aad3a80d6aace6685",0,0,0,0,0,0,0,2,2,2,,2,2
"H3860501","7094083942b14b01bf5b9b2a20d0401d",0,0,0,0,0,0,0,2,2,2,,2,2
"H1900201","717fe47c19c849829a4da328ab62616c",0,1,0,0,0,0,0,1,2,1,2,2,2
"H1280903","72b4987f6abd464a9402e3ac3ecab707",0,0,0,0,0,0,0,1,2,1,2,2,2
"H3320901","72ef3e1cfcb1446e8496c4655acdffea",,,,,,,,,,,,,
"H3300501","748fa1eb305e4590bc27faafd09bde0d",0,0,0,0,0,0,0,2,2,2,,2,2
"H2500901","74836479cf48492db52be583839a96e2",0,0,0,0,0,0,0,2,2,2,,2,2
"H1280601","748815ca56e34cf3a7bd186179768ced",0,0,0,0,0,0,0,2,2,2,,2,2
"H3540901","754f67e61eb4442fb06d25beede9d8ba",0,0,0,0,0,0,0,2,2,2,,2,2
"H3270201","77073271dc76417998711189c20da853",,,,,,,,,,,,,
"H2560903","76b1b95d6384409eb998b9216e3a431b",0,0,0,0,0,0,0,1,2,1,2,2,2
"H3620101","76db63b024434634a605b011e2631f1a",0,0,0,0,0,0,0,1,2,1,2,2,2
"H2350304","77782029919d4b8bbc5f35a1a84277ff",0,0,0,0,0,0,1,1,2,1,2,2,2
"H3430201","784bbea74ae845fababf7a719f2ed72b",0,0,0,0,0,0,0,2,2,2,,2,2
"H3690101","78e1f8c2428341c9bb208384e764eb4d",0,0,0,0,0,0,0,1,2,1,2,2,2
"H3030201","785b91fb16e24b1bb748f3e32ef578ca",0,0,0,0,0,0,0,2,2,2,,2,2
"H3250201","792af14e85e94d978695b6ce2ac2e966",,,,,,,,,,,,,
"H0570401","79b1002e998841d5974450f9cb1de055",1,0,0,0,0,0,0,2,2,1,2,2,2
"H4040101","79e40a3ff2674380aeb23f2d3493d633",0,1,0,0,0,1,0,1,1,1,1,1,1
"H1720401","7a11c6c7245c49aebedf631e4064f2ae",0,0,0,0,0,0,0,1,2,2,,2,2
"H3620501","7aa128bea78c401486b96dd0ff179cab",0,0,0,0,0,0,0,2,2,2,,2,2
"H3500501","7ad4ff9571914602868f53cc662bced5",0,0,0,0,0,0,0,1,2,2,,2,2
"H3430501","7af81896c05d494a8eea54f51185c9cc",0,0,0,0,0,0,0,2,2,2,,2,2
"H2240103","7b5815aa1a08493485f3d905579fac21",0,0,0,0,0,0,0,1,2,1,2,1,2
"H2500501","7c2a64b07d6e468fb10e1307fc146c16",0,0,0,0,0,0,0,1,2,2,,2,2
