hhid,h10q8_1,h10q8_2,hh
H0260201,Charcoal,Yes,H02602-05-01
H0260201,Other Biomass Burning,No,H02602-05-01
H0260201,Open fire,No,H02602-05-01
H0260201,Other (specify),No,H02602-05-01
H0260801,Electric,Yes,H02608-05-01
H0260801,lpg,No,H02608-05-01
H0260801,Kerosene,No,H02608-05-01
H0260801,Wood / Sawdust Burning,No,H02608-05-01
H0260801,Efficient Wood Burning,No,H02608-05-01
H0260801,Charcoal,Yes,H02608-05-01
H0260801,Other Biomass Burning,No,H02608-05-01
H0260801,Open fire,No,H02608-05-01
H0260801,Other (specify),No,H02608-05-01
H0260901,Electric,No,H02609-05-01
H0260901,lpg,No,H02609-05-01
H0260901,Kerosene,No,H02609-05-01
H0260901,Wood / Sawdust Burning,No,H02609-05-01
H0260901,Efficient Wood Burning,No,H02609-05-01
H0260901,Charcoal,Yes,H02609-05-01
H0260901,Other Biomass Burning,No,H02609-05-01
H0260901,Open fire,No,H02609-05-01
H0260901,Other (specify),No,H02609-05-01
H0270301,Electric,No,H02703-05-01
H0270301,lpg,No,H02703-05-01
H0270301,Kerosene,No,H02703-05-01
H0270301,Wood / Sawdust Burning,No,H02703-05-01
H0270301,Efficient Wood Burning,No,H02703-05-01
H0270301,Charcoal,Yes,H02703-05-01
H0270301,Other Biomass Burning,No,H02703-05-01
H0270301,Open fire,No,H02703-05-01
H0270301,Other (specify),No,H02703-05-01
H0270501,Electric,No,H02705-05-01
H0270501,lpg,No,H02705-05-01
H0270501,Kerosene,No,H02705-05-01
H0270501,Wood / Sawdust Burning,No,H02705-05-01
H0270501,Efficient Wood Burning,No,H02705-05-01
H0270501,Charcoal,Yes,H02705-05-01
H0270501,Other Biomass Burning,No,H02705-05-01
H0270501,Open fire,No,H02705-05-01
H0270501,Other (specify),No,H02705-05-01
H0270601,Electric,No,H02706-05-01
H0270601,lpg,No,H02706-05-01
H0270601,Kerosene,No,H02706-05-01
H0270601,Wood / Sawdust Burning,No,H02706-05-01
H0270601,Efficient Wood Burning,No,H02706-05-01
H0270601,Charcoal,Yes,H02706-05-01
H0270601,Other Biomass Burning,No,H02706-05-01
H0270601,Open fire,No,H02706-05-01
H0270601,Other (specify),No,H02706-05-01
H0270602,Electric,No,H02706-05-02
H0270602,lpg,No,H02706-05-02
H0270602,Kerosene,No,H02706-05-02
H0270602,Wood / Sawdust Burning,No,H02706-05-02
H0270602,Efficient Wood Burning,No,H02706-05-02
H0270602,Charcoal,Yes,H02706-05-02
H0270602,Other Biomass Burning,No,H02706-05-02
H0270602,Open fire,No,H02706-05-02
H0270602,Other (specify),No,H02706-05-02
H0271001,Electric,No,H02710-05-01
H0271001,lpg,No,H02710-05-01
H0271001,Kerosene,No,H02710-05-01
H0271001,Wood / Sawdust Burning,No,H02710-05-01
H0271001,Efficient Wood Burning,No,H02710-05-01
H0271001,Charcoal,Yes,H02710-05-01
H0271001,Other Biomass Burning,No,H02710-05-01
H0271001,Open fire,Yes,H02710-05-01
H0271001,Other (specify),No,H02710-05-01
H0271101,Electric,No,H02711-05-01
H0271101,lpg,No,H02711-05-01
H0271101,Kerosene,No,H02711-05-01
H0271101,Wood / Sawdust Burning,No,H02711-05-01
H0271101,Efficient Wood Burning,No,H02711-05-01
H0271101,Charcoal,No,H02711-05-01
H0271101,Other Biomass Burning,No,H02711-05-01
H0271101,Open fire,Yes,H02711-05-01
H0271101,Other (specify),No,H02711-05-01
H0271102,Electric,No,H02711-05-02
H0271102,lpg,Yes,H02711-05-02
H0271102,Kerosene,No,H02711-05-02
H0271102,Wood / Sawdust Burning,No,H02711-05-02
H0271102,Efficient Wood Burning,No,H02711-05-02
H0271102,Charcoal,No,H02711-05-02
H0271102,Other Biomass Burning,No,H02711-05-02
H0271102,Open fire,No,H02711-05-02
H0271102,Other (specify),No,H02711-05-02
H0280201,Electric,No,H02802-05-01
H0280201,lpg,No,H02802-05-01
H0280201,Kerosene,No,H02802-05-01
H0280201,Wood / Sawdust Burning,No,H02802-05-01
H0280201,Efficient Wood Burning,No,H02802-05-01
